,gamma,c1,c2,c3,kappa1,kappa2,kappa3,epsilon,sigma_eta,sigma_xi,F_4xCO2,r0,rU,rT,rA,ari BC,ari CH4,ari N2O,ari NH3,ari NOx,ari OC,ari Sulfur,ari VOC,ari Equivalent effective stratospheric chlorine,shape Sulfur,shape BC,shape OC,beta,o3 CH4,o3 N2O,o3 Equivalent effective stratospheric chlorine,o3 CO,o3 VOC,o3 NOx,scale CH4,scale N2O,scale minorGHG,scale Stratospheric water vapour,scale Contrails,scale Light absorbing particles on snow and ice,scale Land use,scale Volcanic,solar_amplitude,solar_trend,scale CO2,co2_concentration_1750,seed
223,2.5428925329760865,4.427775608793746,6.439975558675275,27.811738491165144,1.5205824007509103,2.611940680671018,0.7911472844184546,1.785763200979068,0.0194790765753699,0.2243003536060381,6.348804032595833,31.936510246680232,0.00262568354349,2.0550655540079013,0.0033687145015187,0.008821685052753,-3.451251706188068e-06,-2.38412263996779e-05,-0.0010672529250909,-4.740489348184886e-05,-0.0006718092607439,-0.0019227931167883,-1.8426429540602248e-05,-1.132059524614386e-05,0.0229768312261598,0.3493487778064388,0.1231250906298497,-0.7296032368853805,0.0001683663038709,0.0012885716563889,-0.000136901606064,2.7471843348337435e-05,-0.0002639193464085,0.0009086437599116,0.8794866733088572,1.078154275438051,0.9975149820060702,0.1084898442317281,2.9092256672151238,1.968793821942664,1.1532429354574016,1.1748956480754664,1.1506421631059038,0.0744109801305414,1.1139380833548356,280.99694947972216,1444740
248,2.699182650943201,5.652514457986715,12.693147039635178,96.30543253545902,1.4518878512446474,2.1903317574901435,1.5876245012997767,1.5035354981532536,0.634219039741778,0.4078362435272002,6.491680342284518,29.324706418937573,0.0066951987273812,4.691436786246848,-0.000973709089933,0.0368458976971934,-3.257413810098453e-07,-6.598142681840107e-05,-0.0008906318140371,-5.537054239908209e-05,-0.0063014404134613,-0.0056982537945661,-1.128373367985341e-05,-1.0835693461502184e-05,0.0219820211056385,0.2478604541974946,0.078641891292516,-0.1775669226495566,0.0002850820791053,0.0003582785072009,-8.049497291666461e-05,2.0303260675989365e-05,-2.266318038644333e-05,0.0012215362197403,1.1250383222761984,0.9176353465038428,1.02320487080307,1.120878923222336,1.3016833393857803,1.6081059103304098,1.2570004211385033,1.1141279423375814,1.2356052718680637,-0.043371915522275,1.1038321942546871,279.2720921212881,1454715
337,5.5608340504952505,4.520785077397567,29.034907889063504,31.431179935187203,1.1402933997990885,2.9338474747190477,1.202307350610203,1.6390295828085395,0.7570882499916823,0.5252964386435731,5.5789084923873,32.65346918021065,0.0031195695540535,0.2144067685038422,0.0045000693732642,0.0025261894618215,-3.2911375668474097e-06,-2.412280100288893e-05,-0.000130969310218,-1.647956527364639e-05,-0.0032513826624403,-0.0009599382339972,-2.6412755785767704e-05,-9.196405249012758e-07,0.0171175856953762,0.3732246554686582,0.0065993878524221,-0.960849892725534,0.0002539370095392,0.0007723304018818,-0.0001998967977162,0.0002184858811337,7.586979708874068e-05,0.0019812111512059,0.8571122792358676,1.048650648546306,1.0090530880206126,0.3613338277903053,0.7889120760226195,0.2903869653280669,1.1688297511428247,1.0441716206239142,0.9440015769858574,0.0594735410904618,1.168394129742087,280.22111941031363,1490226
1126,9.119765903287494,4.038270454210398,10.507802969729164,136.79799611984188,0.9013218785462114,2.8533643296439597,1.1805677898496558,1.6338552499899588,0.842745365412142,0.4699321865968728,7.568182734332582,38.815260960616776,-0.0024922793212517,-0.1080298952384015,0.0048295423235374,0.0024847973916198,-4.225179112870864e-06,-8.931531748696073e-06,-0.0008678843224975,-6.483922667270304e-05,-0.0044992159173527,-0.0051413445700738,-2.8357307901255395e-05,-1.3162663434352087e-05,0.0286693230345681,0.2980719200610319,0.0625258533706454,-0.8316103301054324,0.0002088102322339,0.0015041529654332,9.607916006585448e-06,5.564487233390363e-05,0.0001235710866813,0.0024678695449707,0.869639462597182,0.985324426372764,0.91510208403716,0.0929918358653477,1.323716739738222,1.2842051484895654,0.765528779128377,1.183536090900356,0.6980802759984255,-0.0068822071481134,1.027689313648471,276.7748361298779,1805037
1483,1.541741404774786,5.884384446362143,10.171038050883004,144.59016094250828,1.324371544898911,5.83034101368141,0.9866661135200008,1.261384696943458,0.4932143912583083,0.7435394525789982,8.270529720558237,37.8204526746514,-0.0002693397392237,1.940335147796872,0.0026727693049543,0.0188731678467121,-1.980557835118249e-06,-1.3319270949243536e-05,-0.0004995825194675,-3.810152772666878e-05,-0.0008623792717084,-0.003132716288878,-2.8461591983310493e-05,-1.276174135727468e-05,0.0117987078634992,0.0769983011859634,0.087124677667665,-1.020548654368732,0.0002711033090211,0.0011570543023453,-0.0001736785128573,0.0001010358864079,1.3924417860996809e-05,0.0010601731101166,0.7841000764987147,1.0974009730963914,1.15091240473269,1.774764436796992,1.3427218101916611,0.7413012072517773,0.8169634706230922,0.8516697311477582,1.046927289332929,0.011883422728862,0.978011093598656,275.66244715043905,1947480
2227,7.259436606632011,2.4849161993808417,42.06279824708327,98.62140460442876,1.1765754066778125,1.7382753189529914,1.271247671775204,1.0127158667844456,1.354816965293778,0.2642471335607372,7.713741792732042,33.778833810915934,0.0057144383291418,-1.3569778669368553,0.0046884010067101,0.0024324243896213,-5.77398839043858e-07,-1.213526616576909e-05,-6.028251502129822e-06,-1.639241157815173e-05,-0.002890416087039,-0.0044504010310127,-2.053139905588927e-05,-5.969706380637773e-06,0.0098434931477936,0.1074295641994082,0.0049522754111372,-1.2350075047811255,0.0002163401013787,0.0012566356174051,-2.122452663124107e-05,2.956975040848396e-05,-0.0002654023326712,0.0010412428026103,0.979054392671682,1.0079506822108513,1.0679407896647,0.6540865965640352,1.1186605920097814,1.7047091085576858,0.645111088619726,0.9565356251919792,0.8792256221421693,0.058654258323388,1.0173936690807177,275.0264673941492,2244336
4608,2.431388742482765,6.541093026723035,13.222017216466114,106.359897454489,0.7699826929419951,1.808761851387792,1.004079158663204,1.3831078440585658,0.4727144778725371,0.4858380869625376,7.100924405060377,36.19533675602211,0.0020518932116386,0.9542078501484296,0.0035527923656007,0.0036231173833624,-1.49020306185333e-06,-3.051023824406554e-06,-0.0004128890369961,-5.168732591318333e-05,-0.0071514588341562,-0.0048495918338109,-8.052632276152587e-06,-1.106947966934887e-05,0.0657963363785673,0.2199826637963178,0.3373754345987146,-0.9160436277842654,0.0002281042539138,0.0009613556493802,-5.7574743325733466e-05,0.0001339149557656,-0.0002186576426552,0.0001976276028964,1.0128867016237293,0.8846151035863852,0.9378655049099404,0.8917722523159756,1.2879751790943033,2.9610201331244763,0.8767306645212173,1.227283529279322,1.1901897337781613,-0.0117423276418539,1.0607393054003194,274.4793976758082,3194355
5683,8.01033974353726,6.284405199459406,9.272606826947866,77.99648385518638,1.278746626356402,2.2340112928944604,0.9819932050440944,1.4215450755529406,0.8613340799488766,0.5538062227848545,7.596936269345979,37.30533378507795,-0.0009555017660581,1.2990525307196463,0.0031527011052438,0.0156739036301459,-4.1596249520582723e-07,-4.16398560749848e-05,-9.077120276881749e-05,-8.805725334739074e-05,-0.0046937216419453,-0.001003719746513,-1.691315911747235e-05,-1.2534602795831465e-05,0.0135914826454132,0.1049877468777885,0.0036300493930596,-1.4150921018084883,0.0002932384663098,0.0010180747270457,-8.89544609189772e-05,0.0001635769952088,6.664301554281022e-05,0.0017400649945089,0.8330548987611712,1.0806556694784533,0.9746617399533436,0.4947191576024119,0.9171245315242652,1.0859940750098658,0.4549207033044342,1.0686365585113866,0.5736594354474724,-0.0338028745518897,1.0256555262647138,278.1117269378081,3623280
5797,2.637404700296626,5.106170650713173,35.05045910865266,67.09037507194333,1.3930554099770105,2.87200906205429,1.2073757035827395,1.1632584376934263,0.7953844860281588,0.5398221220407721,8.7734578765098,31.35994609460947,0.0050552139911755,3.229024754255108,0.0012116190474967,0.0242086914726134,-5.425377974595629e-07,-5.096782512506513e-05,-5.078074858548207e-05,-0.0001160908610008,-0.0008889612729874,-0.0055806015370756,-1.7606372213734735e-05,-6.949892611424789e-06,0.0170691770591726,0.4261619010572748,0.0199478276110166,-0.2640628674795035,0.0002098941293972,0.0011011363759015,1.9345653091328612e-05,-0.0001152347868394,0.0001721360339867,0.0003982308795744,0.9096902232751184,1.1155244050659074,1.1588037622981353,1.9224082998165208,0.939955670143902,0.2146030063644058,0.6157259269670102,0.8878694470400508,1.3502805219463925,-0.0740637846926302,0.9424381131621996,279.1706066606524,3668766
8678,1.7698242656119494,5.118787706993467,46.6021854846372,174.0859857140046,1.5016650076604388,0.9056113784854212,0.9110210508669402,0.787291278226443,0.5158739571560663,0.2969890070134107,7.868331415540858,36.06011650979288,0.0028989173323327,3.2514676149732304,0.0006215614151256,0.0123009418735427,-8.277981926058206e-07,-9.57313451064234e-06,-0.0006877796466542,-4.758115511499029e-05,-0.007787992413502,-0.0046677142147841,-2.39263670989853e-06,-1.2092681602327414e-05,0.0444402559257733,0.1468906293047592,0.194597642594048,-0.8221479943004415,0.0002683232629851,0.0011274485913523,6.992506091814267e-05,4.555817360316162e-05,1.8286831941010725e-05,0.0010823656669243,1.03071195698621,1.0183717992827006,1.0726814288917847,0.8013558219950502,0.3386308032484502,1.4419194491458986,0.6893480783109653,0.885553058758983,0.7617262264188231,-0.0273379799151496,1.006459277035292,274.9427759604412,4818285
16076,17.91027783387471,3.719941763789593,20.544231097093693,30.60972764145744,1.057200231434932,3.5519637921275926,1.4545395406530648,1.6626536709001165,1.1035043468681187,0.3862808066746704,7.78185324570467,32.43327781869952,0.0056385742403355,4.677240248856199,-0.0011425053972441,0.030254864201089,-2.1645873854519323e-07,-1.520248900417125e-05,-9.050824547750355e-05,-6.47472601561669e-05,-0.0039381727408758,-0.003494044005319,-3.536194002011275e-07,-1.4863929236467668e-05,0.0200380248564786,0.2231337632467942,0.0375646234641733,-1.1754627124423167,0.0002368317296651,0.0007253031559868,-1.0000928648846338e-05,-5.952522788998386e-05,0.0001522817534259,0.0013487655026543,0.9442604953286372,0.9775114948128312,0.9848140279117517,1.1260821708042703,1.26310234080149,1.835193340998344,0.3334166267976726,0.7904730022984152,1.0419129750506606,-0.0138929338117411,1.0125760279217937,277.9370719034693,7770087
