Variable,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2217,2218,2219,2220,2221,2222,2223,2224,2225,2226,2227,2228,2229,2230,2231,2232,2233,2234,2235,2236,2237,2238,2239,2240,2241,2242,2243,2244,2245,2246,2247,2248,2249,2250,2251,2252,2253,2254,2255,2256,2257,2258,2259,2260,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300
BC,2.0977707554,2.0729259258,2.0643119329,2.0719505635,2.0993497828,2.099173165,2.068915407,2.1479236762,2.1206114096,2.1172674311,2.1278041049,2.1377569895,2.1017481089,2.107029758,2.0715492267,2.1236000219,2.1104599771,2.1124607014,2.1831320402,2.1376337416,2.1393647388,2.1009097006,2.0870775413,2.0927556031,2.1549007405,2.1489965969,2.1121431315,2.1702447836,2.1980014022,2.1596157774,2.1892675877,2.1894411999,2.1605227012,2.1507255897,2.1405422124,2.1658396913,2.1586834849,2.1851792936,2.2552234837,2.2076646319,2.2164369959,2.1725835565,2.161650793,2.1532738339,2.2138431158,2.2026922728,2.1531546156,2.2134750362,2.2340562829,2.2072921649,2.2159740554,2.2194016899,2.202692661,2.1800158282,2.1972980869,2.2150423981,2.2228225848,2.2398719819,2.3119364844,2.2674426403,2.2795237158,2.252530236,2.2280069345,2.231996859,2.2915796913,2.2873246936,2.261022,2.2961805691,2.3354901048,2.3041294824,2.3210487659,2.3334837772,2.3025151175,2.2824717647,2.3109478109,2.3227031118,2.3209688336,2.3463377824,2.4207741526,2.3793763325,2.4031598308,2.3613471254,2.353863299,2.3569593813,2.4124454659,2.4054563746,2.404187956,2.4402101737,2.4773117457,2.4526381381,2.443877522,2.4904898521,2.449170469,2.411136271,2.4438258963,2.4713718751,2.4711987423,2.5211152281,2.5773717998,2.5523940889,2.5711244787,2.5266925893,2.5076341602,2.5278117427,2.610048543,2.5932643134,2.5734300072,2.6364525775,2.6601226419,2.6482032499,2.6484047305,2.6702686626,2.6485649831,2.6292695144,2.6677556337,2.7202010663,2.7102983366,2.7610226706,2.8251405624,2.785004317,2.8312007824,2.7978303473,2.7712926938,2.8416338478,2.8680589102,2.8334891051,2.8431252665,2.8815791729,2.9050364943,2.9292586402,2.9211720625,2.9628772256,2.944345851,2.9180840881,2.9781587398,2.9876586532,3.0001483763,3.0445900747,3.1234840519,3.1046683377,3.159194949,3.125180696,3.1105283648,3.1254308947,3.2051106179,3.216163845,3.1707687465,3.2687021119,3.2968702588,3.3558313451,3.3618210368,3.3829529354,3.3815414696,3.3893863324,3.4640583,3.5253347381,3.5493244804,3.6744573685,3.6758766404,3.6900486621,3.767608107,3.725917532,3.7091004678,3.787939036,3.7644187921,3.7223377833,3.7442070688,3.8263968556,3.8305973797,3.7226411347,3.8130101208,3.6612227024,3.6583337228,3.88124621,3.7748090159,3.7906069822,3.7243836383,3.8503573824,3.8281349316,3.8902159937,3.9076228058,3.6991930863,3.7011205187,3.6739916956,3.8176224067,3.8267632355,3.9720080231,3.9772150745,3.8795464314,4.0108206015,4.0262536264,4.0502942669,4.1141932838,4.1140857817,4.111269896,3.9704063172,3.9716964355,4.0042895994,4.123520873,4.0957465511,4.3312607913,4.2123360674,4.2782499666,4.4001348909,4.4751077731,4.5857451119,4.8444014889,5.0845225724,5.0604880425,5.1867623493,5.2882130843,5.2801877749,5.2683711085,5.4378757429,5.2599094651,5.2700102527,5.2851747959,5.3904588493,5.3703730922,5.4040916128,5.5497087973,5.7037489923,5.9711533747,5.8958315759,5.9716439384,5.998431374,6.2374965318,6.3531787683,6.5790448178,6.6772316494,6.6183871249,6.5777822299,6.9152585775,6.6254022138,6.8150189551,6.9227619886,7.0137036621,7.200139154,7.3966350602,7.3202336677,7.5082715316,8.0115362694,7.3648889933,7.5311228466,7.8957327341,7.8131895012,7.6863395507,8.2697887427,8.4122268764,7.6981621254,7.4573472317,7.5917587685,8.0464741868,8.241697598,8.5424655073,8.8401283857,8.9256481495,9.2844940925,9.0918509138,9.1095140017,9.6651293756,9.4788765656,9.7052851713,9.5605537351,9.7443796581,9.7274235769,,,,,9.4165114541,,,,,,,,,,8.436607634,,,,,,,,,,8.0624657089,,,,,,,,,,5.5651720275,,,,,,,,,,4.6423980048,,,,,,,,,,3.6928771635,,,,,,,,,,2.8813314976,,,,,,,,,,2.4088340938,,,,,,,,,,2.1778692938,,,,,,,,,,2.1308567014,,,,,,,,,,2.0838441091,,,,,,,,,,2.0368315168,,,,,,,,,,1.9898189244,,,,,,,,,,1.9428063321,,,,,,,,,,1.8957937397,,,,,,,,,,1.8487811474,,,,,,,,,,1.8017685551,,,,,,,,,,1.7547559627,,,,,,,,,,1.7077433704,,,,,,,,,,1.6607307781,,,,,,,,,,1.6137181857,,,,,,,,,,1.5667055934,,,,,,,,,,1.519693001,,,,,,,,,,1.4726804087,,,,,,,,,,1.4726804087,,,,,,,,,,1.4726804087,,,,,,,,,,1.4726804087,,,,,,,,,,1.4726804087,,,,,,,,,,1.4726804087
CH4,19.0197831178,18.9151088699,18.8897118119,19.1213772312,19.509061065,19.5004549333,19.4625365998,20.0235406641,19.9340053292,20.1414662139,20.4167971445,20.455990169,20.451687382,20.5451793368,20.2609172102,20.9191549981,20.8535919006,20.9991794557,21.6594521135,21.4963353503,21.6343975722,21.4289211013,21.3946157154,21.5952313932,22.2597077295,22.2009632906,22.1419421252,22.5687100598,22.8560809296,22.8206356944,23.2461666538,23.2496554839,23.3417581189,23.3799167873,23.2940423024,23.8021055373,23.8319949982,24.1765281797,24.8559289243,24.7170728366,24.9422085738,24.7784321673,24.8188929443,25.0315314092,25.7675377776,25.7733428149,25.7405840653,26.2300622584,26.5464401224,26.7064881694,27.0563430777,27.1248871815,27.3397843155,27.3204998542,27.4647499735,27.9507981978,28.1343724468,28.4586560272,29.1852411681,29.1286581269,29.4245324189,29.4057875582,29.4202984969,29.7784760298,30.5478518581,30.6443395409,30.7998562191,31.1983954101,31.6876083194,31.8454413501,32.3333946688,32.5213886326,32.7345105197,32.7557150861,33.0519786957,33.5253388168,33.7481029048,34.1550500104,34.9991285128,35.0164051294,35.4021553379,35.3741870493,35.562723492,35.9808311107,36.7610609653,36.8827897258,37.2472923514,37.6998067755,38.2421096153,38.511175556,38.8877619438,39.3816231677,39.6187288761,39.6532638222,40.0442649922,40.669676667,40.9751997452,41.6164716753,42.4494706296,42.6339646057,43.1423636533,43.1519137078,43.3441293341,43.8843596269,44.8090790641,44.9570538963,45.3214732335,46.0130069384,46.5405772884,46.9496261548,47.3761402272,48.2346866999,49.1305621181,49.7102225287,50.6603247262,51.9800750986,52.7469929283,53.9410217812,55.2876735642,55.8335972831,56.996592307,57.5740142206,58.1871054543,59.6201616531,60.8885003518,61.4471702958,62.6029481077,63.6452425862,64.7112038287,65.9027984126,66.6649843021,67.7067009479,68.5778752392,69.1859791013,70.4806051466,71.6054624134,72.5825438822,73.7774306331,75.1103555306,75.9296001941,77.0786231911,77.6822929241,78.5455808898,79.8150132886,81.3834562628,82.2311601434,83.0000542619,84.3925363532,85.3612716219,86.7054338656,87.6132884502,88.3911671107,89.2628246419,89.8907405675,91.3567494284,92.4013243221,93.2499831638,94.5608019449,95.712371934,96.4666946033,97.7718710278,98.4293811567,99.2661463234,100.6125583732,102.2840586511,103.0579197467,104.0889435207,105.4397414502,106.7459316005,108.0951070438,109.1336385331,109.8093479626,110.4858104015,112.2535641319,112.6335059659,113.670426919,114.5456302725,115.7474799835,116.7958666079,118.0199977158,119.67017881,119.9075078231,121.421987287,122.3437658966,123.953299851,124.8946043873,126.4647047544,127.1823370675,127.9053930362,129.5013567659,130.1349942624,132.2180939399,134.7060240813,136.6296868843,138.9310562239,141.0229639569,142.7064022453,144.7944964951,147.2720294514,150.2157148878,152.2010084463,155.2719351654,160.5733576048,165.6818323082,170.3710079189,174.7404470568,180.6711174608,186.0555677386,188.3855399497,192.6867573111,197.2611004758,205.1383413045,207.2122991826,216.1922655898,216.5561629558,222.6664157027,226.3106958021,232.3331464883,235.3354026662,239.1848516126,244.4183955463,249.2895330838,257.2102054266,260.2947249744,261.8082770538,263.0585486453,269.9482096581,274.0301524027,276.3333544629,281.600065612,283.3464702352,279.7894207163,287.6693153882,281.6176583553,285.0030451679,285.6752697156,290.808448754,295.0485146933,298.6854950838,302.164174394,305.2725546521,318.7311920515,299.4017954745,299.4425140657,310.2518367625,305.4095888956,307.2912075231,331.2889197565,315.3326211954,309.4083708526,310.1868098265,312.8963786998,322.2788312476,328.1242241955,338.9417722149,346.3955546236,356.4696895646,355.0225755364,360.4917104977,364.2003633816,370.8962527866,372.6576831783,380.8097666444,381.5943928176,387.8735392059,388.0727956633,,,,,397.4643942991,,,,,,,,,,454.4675600292,,,,,,,,,,542.2927370797,,,,,,,,,,262.3457777085,,,,,,,,,,164.7078827346,,,,,,,,,,139.0177538318,,,,,,,,,,128.0050554795,,,,,,,,,,117.1843393688,,,,,,,,,,107.6943738058,,,,,,,,,,106.027868958,,,,,,,,,,104.3613641102,,,,,,,,,,102.6948592624,,,,,,,,,,101.0283544146,,,,,,,,,,99.3618495669,,,,,,,,,,97.6953447191,,,,,,,,,,96.0288398713,,,,,,,,,,94.3623350235,,,,,,,,,,92.6958301757,,,,,,,,,,91.029325328,,,,,,,,,,89.3628204802,,,,,,,,,,87.6963156324,,,,,,,,,,86.0298107846,,,,,,,,,,84.3633059368,,,,,,,,,,82.6968010891,,,,,,,,,,82.6968010891,,,,,,,,,,82.6968010891,,,,,,,,,,82.6968010891,,,,,,,,,,82.6968010891,,,,,,,,,,82.6968010891
CO,348.5273587774,343.9263672487,341.8090339017,343.6754562092,349.8156252006,348.1446679552,343.3231516758,355.9418922632,351.8397490494,351.5077627257,354.4182853082,354.70796792,349.2496972277,350.059334922,342.0446106563,352.9327257664,349.3806450006,349.6160989964,362.6536848271,355.0254184517,355.3605475565,347.8619882939,344.6134738327,345.7768090889,358.1035850352,355.0471728556,348.8985525123,357.5453610129,362.7554134631,355.9261715181,361.6140421607,360.0900538629,356.0465546223,354.2869242537,350.569496264,356.8051253517,354.2058772958,358.7933682521,371.3570923496,363.4416445788,364.8802163926,356.6583861664,354.2515376109,353.3723093367,365.7219140306,362.1921226893,354.4783029356,363.5482371991,367.6501027985,363.4860469039,365.8466368441,364.9170683865,362.9627075069,358.6507799751,359.5286959756,364.30370433,364.3432293357,367.2349328138,380.0352720034,372.8486855413,374.7180119051,369.2694863079,364.5806874719,365.9138874206,377.9855416791,375.5806647956,371.6298227687,376.4429441284,383.9142096018,378.3325838344,382.4197482793,382.8975341009,378.6708004401,374.3931813157,377.0407114155,380.3167497619,378.822265514,382.4773392117,395.9754324666,389.1746282041,392.1065328641,384.2012507245,382.3633980025,383.4537927943,394.1429023376,390.555139182,389.9786643892,394.7565037678,401.2961870126,396.9116368644,395.8809161864,402.3727418168,396.9951221368,389.7367808718,392.7074417141,397.8500559957,395.9082621736,402.9851574749,413.5582929452,408.9399341235,411.4628743195,402.2448152542,397.4985199916,400.3388041438,413.3991315095,408.1104538804,404.8549167302,414.6731918455,419.0140236088,416.2997484931,416.0639965861,417.2441372169,414.1628065609,408.1224194075,411.3310642865,420.4890049802,417.1011849314,424.2969752987,434.9302282598,426.4036167291,433.2287624498,425.1606513203,417.744273357,429.2802890411,435.804180008,426.8934954531,429.4805477314,434.0603459962,437.9599497694,440.8517590737,437.3657275387,440.9737248225,436.0786301155,428.2212034305,436.5183491795,438.141538538,437.7333268549,443.1077381377,452.5023079705,448.6908696327,453.8990323287,444.3827318012,439.8086590466,443.3506557922,456.696032509,453.55188505,444.0944277815,456.4122054737,456.6037673563,462.1035993919,459.5444668504,457.6168305059,455.0261768246,449.962530411,462.6217650299,467.4401288374,466.4356478968,480.3174563578,482.5826340091,480.6894687863,491.4713622185,482.3736483688,477.988921458,488.267603494,494.497882629,484.2476848847,482.9542660079,492.9600447525,496.2420730764,490.9794171167,498.8745998754,486.6136241874,484.8273418444,514.2343951444,499.0974143951,502.6957687587,499.0418203741,515.0910883834,515.8400889337,527.0535755088,535.0349028181,504.8981345044,510.1823315036,508.1160120584,528.0331660089,529.4409406292,550.0398548533,550.610941906,535.4268484556,554.537917123,550.4654056455,552.9500650768,560.1841861089,561.0185502959,569.4275578497,562.3881403028,555.2899629515,563.4037753735,586.5360800457,588.4410386835,619.9439709149,593.1994505844,606.9563399936,623.9750547982,628.9096635314,641.3267253315,673.8062290293,695.9496130567,661.2854858413,665.4367222123,668.5656629833,701.0053452576,678.8492233714,741.3196016175,689.1114600088,709.3122962703,710.9414664581,746.2098208747,740.4824182303,747.0297315351,781.0375522975,796.2029425301,868.4735707547,826.0293132269,824.621402216,816.9194858582,856.0634915298,868.4313096929,897.405148357,900.4664227016,890.5114951944,875.7816094417,967.4292982868,862.0214943305,889.7020107049,906.936819948,914.5218093193,952.06114919,950.415187429,930.846775462,940.5626313485,1129.9838832526,913.3754185979,941.881635326,1060.2827443334,955.0363061603,930.0218807198,1204.9923054068,1085.4305991967,940.7006779859,886.5647302341,881.6703955806,970.7244171944,944.7470786126,945.5469500687,950.5924444364,986.1510088892,945.8695944358,912.5104843072,917.7292309352,953.228630292,906.7673675143,949.6022183539,901.2387566412,964.0476181502,934.3498846848,,,,,884.1610727361,,,,,,,,,,754.6087067159,,,,,,,,,,706.1967691779,,,,,,,,,,598.67669009,,,,,,,,,,544.4024894004,,,,,,,,,,491.1755343326,,,,,,,,,,460.3753969961,,,,,,,,,,444.4929911301,,,,,,,,,,435.3778830985,,,,,,,,,,427.4508395992,,,,,,,,,,419.5237960999,,,,,,,,,,411.5967526006,,,,,,,,,,403.6697091013,,,,,,,,,,395.7426656021,,,,,,,,,,387.8156221028,,,,,,,,,,379.8885786035,,,,,,,,,,371.9615351042,,,,,,,,,,364.0344916049,,,,,,,,,,356.1074481056,,,,,,,,,,348.1804046063,,,,,,,,,,340.2533611071,,,,,,,,,,332.3263176078,,,,,,,,,,324.3992741085,,,,,,,,,,316.4722306092,,,,,,,,,,316.4722306092,,,,,,,,,,316.4722306092,,,,,,,,,,316.4722306092,,,,,,,,,,316.4722306092,,,,,,,,,,316.4722306092
CO2 AFOLU,0.2974646065,0.3029370985,0.3085102686,0.314185969,0.3199660859,0.3258525403,0.3318472885,0.3379523229,0.3441696723,0.3505014029,0.3569496193,0.3635164642,0.3702041201,0.3770148097,0.3839507963,0.3910143851,0.3982079236,0.4055338025,0.4129944564,0.4205923649,0.428330053,0.4362100923,0.4442351017,0.4524077481,0.4607307476,0.4692068664,0.4778389213,0.4866297812,0.4955823676,0.5046996558,0.5139846758,0.5234405135,0.5330703113,0.5428772697,0.5528646479,0.563035765,0.5733940015,0.5839427996,0.5946856653,0.6056261687,0.6167679459,0.6281146997,0.6396702011,0.6514382904,0.6634228787,0.6756279489,0.6880575572,0.7007158345,0.7136069877,0.7267353009,0.7401051373,0.7537209402,0.7675872346,0.781708629,0.7960898163,0.810735576,0.8256507755,0.8408403718,0.8563094128,0.8720630397,0.8881064879,0.9044450894,0.921084274,0.9380295718,0.9552866142,0.9728611365,0.9907589794,1.008986091,1.027548529,1.0464524624,1.0657041738,1.0853100611,1.1052766404,1.1256105471,1.1463185392,1.1674074988,1.1888844344,1.2107564838,1.2330309159,1.2557151333,1.2788166751,1.3023432187,1.3263025829,1.3507027304,1.3755517704,1.4008579611,1.4266297129,1.4528755906,1.479604317,1.5068247748,1.5345460108,1.5627772376,1.5915278377,1.620807366,1.6506255533,1.6809923093,1.7119177263,1.7434120818,1.7754858427,1.8081496685,1.8414144146,1.8126416907,2.0179587916,2.0104291493,2.0034985404,1.9925730395,2.0144387131,2.0339909047,2.0511258455,2.0791532122,2.0957177609,2.1367215791,1.91634624,1.916997535,1.9182694133,1.9210873775,1.9215856665,1.9160526881,1.9106987247,1.90467254,1.9006451767,1.9744594193,2.2874858989,2.3276481357,2.3542562159,2.3830682431,2.4113536705,2.4357357824,2.4609899562,2.4867493015,2.5096232482,2.6480249134,2.4712241914,2.4971516878,2.5089860675,2.5316332241,2.5355583242,2.5353771228,2.5341103979,2.5323127084,2.5202703565,2.5079888436,2.5611962858,2.5640611675,2.6222095937,2.6418645871,2.6510099168,2.6599419389,2.6690968217,2.6697549132,2.677143179,2.9202203851,2.9325780838,3.0399189118,3.137132745,3.2360374097,3.3491056497,3.3822730375,3.4166508091,3.4426153271,3.4650714203,3.2518431089,3.1178570102,3.0061229494,2.9652864484,2.9220366514,2.9304951732,2.9416180447,2.9536750828,2.9724491329,2.981094687,3.1561851513,3.1271256184,3.1568633541,3.1795056788,3.1911726905,3.2074464576,3.3522913273,3.3649214441,3.4648676405,3.747998908,3.7858504651,3.4262025414,3.4145359777,3.3713996272,3.3664693351,3.3971959859,3.314552106,3.3248310623,3.319548711,3.274049486,3.2103532511,3.2881608743,3.2691435744,3.2918415556,3.2936855776,3.6019565189,3.7144119912,3.7442907906,3.7825481334,3.8309381774,4.6310849474,4.7326641169,4.7222348132,4.9201906397,5.0855943597,5.299828735,5.4141995358,5.6014628852,5.4001783,5.3556598333,5.610847,5.5726139333,5.5963765,5.5635569,5.6777310333,5.6863605333,5.847963,5.6688731,5.6568383667,5.6136718,5.1505780333,4.8624898667,4.8311534333,4.7291475,4.7755246,4.8378216333,4.9546904,4.7612220333,4.5890507667,4.5590688,4.5908679667,4.6104065333,5.2512401333,5.35458,5.4957305333,5.607019,5.5541621667,5.5519834333,5.6144077,5.2954799333,5.9981859667,6.1674723,5.6678996,5.5102890333,5.4456622,5.3874469,8.0006368619,5.6478105619,4.7763509619,4.4022387619,3.5244721286,3.9233486286,3.3018196619,3.8044763952,3.7584655952,4.0039309619,3.5406318619,2.4490886619,2.7661559619,3.2434382619,3.3480379952,3.5570379952,3.3663713286,4.0153713286,3.51744,,,,,3.9499661272,,,,,,,,,,4.5503060925,,,,,,,,,,3.4346645194,,,,,,,,,,2.7550410079,,,,,,,,,,4.7719512438,,,,,,,,,,2.5009506146,,,,,,,,,,0.9038,,,,,,,,,,0.05812,,,,,,,,,,-0.8009,,,,,,,,,,-0.64072,,,,,,,,,,-0.48054,,,,,,,,,,-0.32036,,,,,,,,,,-0.16018,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0
CO2 FFI,0.0095056199,0.0095059632,0.009510002,0.0095103454,0.0095143842,0.009518423,0.01016917,0.0101732088,0.0101772477,0.0101812865,0.0101816298,0.0111465116,0.0111505698,0.0111546279,0.0111586861,0.0111627443,0.012445437,0.0124494951,0.0124535533,0.0124576115,0.0124616697,0.0138109016,0.0138149804,0.0138190593,0.0138231381,0.0138272169,0.0152503584,0.0152544372,0.0152585161,0.0152625949,0.0152703692,0.0170741684,0.0170782709,0.017086069,0.0170901716,0.0171019457,0.0194046341,0.0194124321,0.0194165347,0.0194243328,0.0194321308,0.0216941918,0.0223487664,0.0223717457,0.0223253435,0.0223382173,0.0234392146,0.0245980621,0.0256168579,0.026981443,0.0287778054,0.0285546961,0.0370723835,0.0321150522,0.0350525922,0.034268305,0.0358620394,0.0383672604,0.0358569275,0.0358885033,0.038156726,0.0403635149,0.0417597072,0.0419545408,0.0428876376,0.0443182407,0.0490396826,0.051192702,0.0515032331,0.051745684,0.0525361887,0.0533619214,0.0554554555,0.0587709369,0.060467061,0.063111523,0.06369625,0.0683048299,0.0689822692,0.0683939437,0.0913683294,0.0867014506,0.0867958008,0.088777417,0.0905212983,0.0926138873,0.1070790399,0.1072231617,0.1109912884,0.114735853,0.1229164271,0.1267943459,0.1342652383,0.1372349296,0.1460170923,0.1604739031,0.1619589046,0.1739315477,0.172660674,0.1790134873,0.1882971893,0.1889473101,0.1965696209,0.2050343782,0.2414710874,0.2439077243,0.2608928805,0.263451509,0.2676077703,0.2852848882,0.3144307083,0.3314036247,0.3366365241,0.3572415719,0.383759646,0.406520184,0.4204531021,0.4491953027,0.4602890534,0.4884396241,0.5008359388,0.5322577503,0.5875811859,0.6233057592,0.5900221812,0.634898549,0.6447162038,0.6589603312,0.6624475459,0.7078810192,0.8037596678,0.8253182473,0.8682868736,0.9193900694,0.9265548868,0.9323926773,0.9466222192,0.9929671993,1.0957576419,1.0971201592,1.1919929685,1.2475750647,1.2567075369,1.2381078978,1.2866768874,1.3621187958,1.4059557641,1.4730383861,1.5511755446,1.6978009659,1.7888209389,1.8486608255,1.90311229,2.0757425375,2.1076141009,2.2437267129,2.3609161104,2.6637445589,2.5769580635,2.6726752649,2.8059632504,2.8619862568,3.0047220718,3.2596494608,2.9736665403,2.9425198105,3.1709582073,3.2856216442,3.2518133671,2.8614210084,3.3092152401,2.9089688898,3.0924139993,3.5162524254,3.5558300564,3.6047125979,3.5588870225,3.9282215596,3.9435829185,4.2395862247,3.93153488,3.5496455181,3.2257182395,3.3839424869,3.6669673368,3.8498558022,4.2154570727,4.5113112111,4.2559684387,4.5168467201,4.8828544524,4.9738716481,4.9801632414,5.1410196288,5.0859330864,4.3274050264,4.7425669442,5.3130621331,5.6496481939,5.5517610217,6.2137311757,6.6596060411,6.7860998918,6.9840212722,7.1651864949,7.8374694278,8.3953910905,8.7388725843,9.0405388496,9.5410195626,9.9982469465,10.0849294285,10.5110705564,11.1259411268,11.7027233842,12.2467503339,12.831866896,13.2871577248,14.0516684138,14.8833968074,15.8432850195,16.5275500996,17.2466956424,18.2330087505,18.1322269954,18.0606720907,19.0355563346,19.6576606528,20.4542169643,20.9999601569,20.7075953389,20.2985992125,20.0710866668,20.0923869363,20.5905423852,20.8100057511,21.1963826407,21.7743409603,22.4753785753,22.7603198817,22.6712392079,22.683403163,22.5213680215,22.6953626813,22.8663931655,23.3695901606,23.8605996724,24.0921728897,24.1503862536,24.4100825682,25.2596413833,25.4938714165,26.0100466653,27.2073717053,28.629015517,29.6581642629,30.6279346684,31.8116009419,32.0021218053,31.4592351873,32.890397797,33.9179912646,34.396873878,35.3963397006,35.6155767254,35.6352862984,,,,,39.7626624487,,,,,,,,,,50.7497105353,,,,,,,,,,65.3399629893,,,,,,,,,,47.5640539883,,,,,,,,,,11.8107169966,,,,,,,,,,-8.2690125721,,,,,,,,,,-15.7591327806,,,,,,,,,,-18.6143649806,,,,,,,,,,-19.5104819806,-19.3804121007,-19.2503422208,-19.120272341,-18.9902024611,-18.8601325812,-18.7300627014,-18.5999928215,-18.4699229416,-18.3398530617,-18.2097831819,-18.079713302,-17.9496434221,-17.8195735423,-17.6895036624,-17.5594337825,-17.4293639027,-17.2992940228,-17.1692241429,-17.039154263,-16.9090843832,-16.7790145033,-16.6489446234,-16.5188747436,-16.3888048637,-16.2587349838,-16.1286651039,-15.9985952241,-15.8685253442,-15.7384554643,-15.6083855845,-15.4783157046,-15.3482458247,-15.2181759449,-15.088106065,-14.9580361851,-14.8279663052,-14.6978964254,-14.5678265455,-14.4377566656,-14.3076867858,-14.1776169059,-14.047547026,-13.9174771461,-13.7874072663,-13.6573373864,-13.5272675065,-13.3971976267,-13.2671277468,-13.1370578669,-13.0069879871,-12.8769181072,-12.7468482273,-12.6167783474,-12.4867084676,-12.3566385877,-12.2265687078,-12.096498828,-11.9664289481,-11.8363590682,-11.7062891883,-11.5762193085,-11.4461494286,-11.3160795487,-11.1860096689,-11.055939789,-10.9258699091,-10.7958000293,-10.6657301494,-10.5356602695,-10.4055903896,-10.2755205098,-10.1454506299,-10.01538075,-9.8853108702,-9.7552409903,-9.6251711104,-9.4951012305,-9.3650313507,-9.2349614708,-9.1048915909,-8.9748217111,-8.8447518312,-8.7146819513,-8.5846120715,-8.4545421916,-8.3244723117,-8.1944024318,-8.064332552,-7.9342626721,-7.8041927922,-7.6741229124,-7.5440530325,-7.4139831526,-7.2839132727,-7.1538433929,-7.023773513,-6.8937036331,-6.7636337533,-6.6335638734,-6.5034939935,-6.3734241137,-6.2433542338,-6.1132843539,-5.983214474,-5.8531445942,-5.7230747143,-5.5930048344,-5.4629349546,-5.3328650747,-5.2027951948,-5.072725315,-4.9426554351,-4.8125855552,-4.6825156753,-4.5524457955,-4.4223759156,-4.2923060357,-4.1622361559,-4.032166276,-3.9020963961,-3.7720265162,-3.6419566364,-3.5118867565,-3.3818168766,-3.2517469968,-3.1216771169,-2.991607237,-2.8615373572,-2.7314674773,-2.6013975974,-2.4713277175,-2.3412578377,-2.2111879578,-2.0811180779,-1.9510481981,-1.8209783182,-1.6909084383,-1.5608385584,-1.4307686786,-1.3006987987,-1.1706289188,-1.040559039,-0.9104891591,-0.7804192792,-0.6503493994,-0.5202795195,-0.3902096396,-0.2601397597,-0.1300698799,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0
