Variable,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AR6 climate diagnostics|Infilled|Emissions|BC,Mt BC/yr,9.727423577,9.490278996,9.255400977,9.02277488,8.792386065,8.564219895,8.37379549,8.183883329,7.958480836,7.783879021,7.606907623,7.508991043,7.355972983,7.218825658,6.993148428,6.818033732,6.690581208,6.530459528,6.402384869,6.201079591,6.060982933,5.938714492,5.835178697,5.68805281,5.541592827,5.396346255,5.247250786,5.091607071,4.919032411,4.72086749,4.544441562,4.411135065,4.278724731,4.145537593,3.987880675,3.815924081,3.769371334,3.711776765,3.653397828,3.593153567,3.526462575,3.472897802,3.422189531,3.37733864,3.334479559,3.261665644,3.203497767,3.172215382,3.123909017,3.06072937,3.030086272,3.00637608,2.96626028,2.925077109,2.874683703,2.827636904,2.794716276,2.745202342,2.703654226,2.662057935,2.618180256,2.563944712,2.521574951,2.45838313,2.411391824,2.370879175,2.350890081,2.318368033,2.282499187,2.253626611,2.224169371,2.186821745,2.153446725,2.130255697,2.136594323,2.109229128,2.073582244,2.019894953,1.98267167,1.955502317,1.944906188,1.927587599,1.904860406,1.877344331,1.839792793,1.809030518
AR6 climate diagnostics|Infilled|Emissions|CCl4,kt CCl4/yr,47.5476,45.01854578,42.48256265,39.95350843,37.42445422,34.8954,33.28229483,31.67359704,30.06489926,28.45620148,26.8430963,25.23439852,23.62570074,22.01700296,20.40389778,18.7952,17.92849491,17.06178981,16.19271019,15.32600509,14.4593,13.59259491,12.72351528,11.85681019,10.99010509,10.1234,9.655424966,9.188728552,8.722032138,8.255335724,7.78736069,7.320664276,6.853967862,6.387271448,5.919296414,5.4526,5.201167771,4.949735542,4.697614458,4.446182229,4.19475,3.943317771,3.691196687,3.439764458,3.188332229,2.9369,2.801130331,2.665731618,2.530332904,2.394934191,2.259164522,2.123765809,1.988367096,1.852968382,1.717198713,1.5818,1.508859967,1.435919934,1.362780066,1.289840033,1.2169,1.143959967,1.070820099,0.997880066,0.924940033,0.852,0.812614673,0.773336956,0.734059239,0.694781522,0.655396195,0.616118478,0.576840761,0.537563044,0.498177717,0.4589,0.437631654,0.416363308,0.395036692,0.373768346,0.3525,0.331231654,0.309905038,0.288636692,0.267368346,0.2461
AR6 climate diagnostics|Infilled|Emissions|CFC11,kt CFC11/yr,43.5734,41.88174693,40.1854592,38.49380613,36.80215307,35.1105,33.87673033,32.64633162,31.4159329,30.18553419,28.95176452,27.72136581,26.4909671,25.26056838,24.02679871,22.7964,21.99731785,21.19823571,20.39696429,19.59788215,18.7988,17.99971785,17.19844644,16.39936429,15.60028215,14.8012,14.28109526,13.76241158,13.24372789,12.72504421,12.20493947,11.68625579,11.16757211,10.64888842,10.12878368,9.6101,9.273234584,8.936369168,8.598580832,8.261715416,7.92485,7.587984584,7.250196249,6.913330832,6.576465416,6.2396,6.020340652,5.801680372,5.583020093,5.364359814,5.145100465,4.926440186,4.707779907,4.489119628,4.269860279,4.0512,3.909197809,3.767195619,3.624804381,3.482802191,3.3408,3.198797809,3.056406572,2.914404381,2.772402191,2.6304,2.537963208,2.445778976,2.353594744,2.261410512,2.16897372,2.076789488,1.984605256,1.892421024,1.799984232,1.7078,1.647722919,1.587645838,1.527404162,1.467327081,1.40725,1.347172919,1.286931243,1.226854162,1.166777081,1.1067
AR6 climate diagnostics|Infilled|Emissions|CFC113,kt CFC113/yr,0.8742,0.781610734,0.688767798,0.596178532,0.503589266,0.411,0.378928661,0.346944949,0.314961237,0.282977525,0.250906187,0.218922475,0.186938763,0.154955051,0.122883712,0.0909,0.083823877,0.076747755,0.069652245,0.062576123,0.0555,0.048423877,0.041328368,0.034252245,0.027176123,0.0201,0.018526992,0.016958281,0.01538957,0.01382086,0.012247851,0.01067914,0.00911043,0.007541719,0.005968711,0.0044,0.004060186,0.003720372,0.003379628,0.003039814,0.0027,0.002360186,0.002019441,0.001679628,0.001339814,0.001,0.000919847,0.000839912,0.000759978,0.000680044,0.000599891,0.000519956,0.000440022,0.000360088,0.000279934,0.0002,0.000180011,0.000160022,0.000139978,0.000119989,0.0001,0.000080011,5.99671E-005,3.99781E-005,0.000019989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR6 climate diagnostics|Infilled|Emissions|CFC114,kt CFC114/yr,1.6696,1.515315993,1.36060929,1.206325284,1.052041277,0.89775727,0.833803898,0.770025262,0.706246625,0.642467989,0.578514617,0.514735981,0.450957345,0.387178708,0.323225336,0.2594467,0.24101771,0.222588721,0.204109241,0.185680252,0.167251262,0.148822272,0.130342793,0.111913803,0.093484814,0.075055824,0.069713282,0.064385337,0.059057392,0.053729447,0.048386904,0.043058959,0.037731014,0.032403069,0.027060527,0.021732582,0.020187503,0.018642423,0.017093111,0.015548032,0.014002952,0.012457873,0.010908561,0.009363481,0.007818402,0.006273323,0.005824369,0.005376643,0.004928917,0.00448119,0.004032237,0.00358451,0.003136784,0.002689057,0.002240104,0.001792378,0.001658023,0.001523668,0.001388946,0.001254591,0.001120236,0.000985881,0.000851159,0.000716804,0.000582449,0.000448094,0.000425647,0.00040326,0.000380874,0.000358488,0.00033604,0.000313654,0.000291268,0.000268881,0.000246434,0.000224047,0.000201655,0.000179262,0.000156809,0.000134416,0.000112024,8.96312E-005,6.71774E-005,4.47849E-005,2.23925E-005,0
AR6 climate diagnostics|Infilled|Emissions|CFC115,kt CFC115/yr,1.6714,1.614252774,1.556948979,1.499801753,1.442654526,1.3855073,1.34206557,1.298742533,1.255419496,1.212096459,1.168654728,1.125331691,1.082008654,1.038685617,0.995243887,0.95192085,0.922187418,0.892453987,0.862639093,0.832905662,0.80317223,0.773438798,0.743623905,0.713890473,0.684157042,0.65442361,0.633918269,0.613468954,0.593019638,0.572570323,0.552064982,0.531615667,0.511166352,0.490717036,0.470211695,0.44976238,0.43570402,0.42164566,0.407548785,0.393490425,0.379432065,0.365373705,0.351276829,0.33721847,0.32316011,0.30910175,0.2994128,0.289750323,0.280087846,0.270425369,0.260736419,0.251073941,0.241411464,0.231748987,0.222060037,0.21239756,0.205754985,0.19911241,0.192451635,0.18580906,0.179166485,0.17252391,0.165863136,0.15922056,0.152577985,0.14593541,0.141355179,0.136787462,0.132219746,0.127652029,0.123071798,0.118504081,0.113936364,0.109368648,0.104788417,0.1002207,0.097057569,0.093894438,0.090722641,0.08755951,0.08439638,0.081233249,0.078061452,0.074898321,0.07173519,0.068572059
AR6 climate diagnostics|Infilled|Emissions|CFC12,kt CFC12/yr,14.6096,12.88868297,11.1630511,9.442134064,7.721217032,6.0003,5.500534164,5.002133808,4.503733452,4.005333096,3.50556726,3.007166904,2.508766548,2.010366192,1.510600356,1.0122,0.928096084,0.843992169,0.759657831,0.675553916,0.59145,0.507346084,0.423011747,0.338907831,0.254803916,0.1707,0.156482809,0.142304462,0.128126116,0.113947769,0.099730578,0.085552231,0.071373884,0.057195538,0.042978347,0.0288,0.026411309,0.024022618,0.021627382,0.019238691,0.01685,0.014461309,0.012066073,0.009677382,0.007288691,0.0049,0.004489214,0.004079551,0.003669888,0.003260224,0.002849439,0.002439776,0.002030112,0.001620449,0.001209663,0.0008,0.000730038,0.000660077,0.000589923,0.000519962,0.00045,0.000380038,0.000309885,0.000239923,0.000169962,0.0001,8.99808E-005,7.99891E-005,6.99973E-005,6.00055E-005,4.99863E-005,3.99945E-005,3.00027E-005,2.00109E-005,9.99179E-006,-1.35525E-020,0.001199343,0.002398686,0.003601314,0.004800657,0.006,0.007199343,0.008401972,0.009601314,0.010800657,0.012
AR6 climate diagnostics|Infilled|Emissions|CH2Cl2,kt CH2Cl2/yr,1267.9806,1316.112906,1364.377082,1412.509388,1460.641694,1508.774,1398.15813,1287.844488,1177.530847,1067.217206,956.6013354,846.2876942,735.9740529,625.6604117,515.0445413,404.7309,395.9675918,387.2042836,378.4169664,369.6536582,360.89035,352.1270418,343.3397246,334.5764164,325.8131082,317.0498,317.4719273,317.8929013,318.3138753,318.7348493,319.1569767,319.5779507,319.9989247,320.4198987,320.842026,321.263,321.4660887,321.6691774,321.8728226,322.0759113,322.279,322.4820887,322.6857338,322.8888226,323.0919113,323.295,323.7571038,324.217945,324.6787863,325.1396275,325.6017313,326.0625725,326.5234137,326.984255,327.4463588,327.9072,328.5850985,329.2629971,329.9427529,330.6206515,331.29855,331.9764485,332.6562044,333.3341029,334.0120015,334.6899,335.2632766,335.8350866,336.4068967,336.9787067,337.5520833,338.1238933,338.6957033,339.2675134,339.84089,340.4127,340.3254578,340.2382156,340.1507344,340.0634922,339.97625,339.8890078,339.8015266,339.7142844,339.6270422,339.5398
AR6 climate diagnostics|Infilled|Emissions|CH3Br,kt CH3Br/yr,133.823,135.2216536,136.6241392,138.0227928,139.4214464,140.8201,138.0844679,135.3563102,132.6281526,129.8999949,127.1643628,124.4362051,121.7080474,118.9798898,116.2442577,113.5161,113.1906783,112.8652566,112.5389434,112.2135217,111.8881,111.5626783,111.2363651,110.9109434,110.5855217,110.2601,110.04573,109.8319457,109.6181614,109.4043771,109.1900071,108.9762229,108.7624386,108.5486543,108.3342843,108.1205,108.0026946,107.8848891,107.7667609,107.6489554,107.53115,107.4133446,107.2952163,107.1774109,107.0596054,106.9418,106.8768858,106.8121491,106.7474123,106.6826755,106.6177613,106.5530245,106.4882877,106.4235509,106.3586368,106.2939,106.255661,106.2174219,106.1790781,106.140839,106.1026,106.064361,106.0260171,105.9877781,105.949539,105.9113,105.8788479,105.8464845,105.8141211,105.7817577,105.7493057,105.7169423,105.6845789,105.6522155,105.6197634,105.5874,105.5550177,105.5226355,105.4901645,105.4577823,105.4254,105.3930177,105.3605468,105.3281645,105.2957823,105.2634
AR6 climate diagnostics|Infilled|Emissions|CH3CCl3,kt CH3CCl3/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
