,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_CH4,ari_N2O,ari_NH3,ari_NOx,ari_OC,ari_Sulfur,ari_VOC,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_solar_trend,fscale_Light absorbing particles on snow and ice,fscale_Contrails,fscale_CO2,cc_co2_concentration_1750,seed
394,5.196186200011185,3.2091790098698603,26.504324316983165,74.93601430749356,1.0455416629844372,2.4877840245119,1.0637075769990807,1.2318239071488255,1.274013681926145,0.5753176709850355,5.446296868781833,28.91609168472394,0.0074938385220708,5.269875938212031,-0.0007655523207956,0.0215781130498659,-4.52402111746901e-06,-6.644849240619741e-05,-0.0002009907369163,-0.0001193056473093,-0.0007107907481988,-0.0008941013287316,-1.2313664119382425e-05,-1.1758446858721256e-05,0.0101696619540887,162.77939777958537,2.311595973153415e-12,-0.6360972184502561,0.0002065946092613,0.0010097701819453,-0.0001544199158288,9.975469228919512e-05,2.423101577603981e-05,0.0005369834394202,0.9736166802160552,1.0140458397717211,1.0314873650106726,2.3930128548744127,1.5376150521885854,0.8418566556813751,0.8667184803949535,-0.0230479567254446,1.4386520343321063,2.110480649116933,0.8298966471965676,276.9735163100112,1512969
1850,2.2886169566965227,3.8954526760276087,21.631604821165027,71.00625383352013,1.1145929532714247,2.72368024128624,0.8105012700379582,1.4512133161867968,0.3834142179178191,0.3953471265885696,6.57323307432554,35.07158087437466,0.0021092224759583,0.1277729082049246,0.0040419631182157,0.0368033309085594,-2.671105783935308e-06,-6.983575336996385e-05,-0.0007551989392515,-5.01385277025188e-05,-0.0042470806035731,-0.0029894144620983,-1.984625149884266e-05,-1.4667610831641592e-05,2.293373275844353e-07,1.001987990166076e-06,5.100678736249409e-07,-29629.24802621333,0.0003011877801321,0.0006938912740809,-9.017630879579771e-05,9.779866302796692e-05,-5.53637764436348e-05,0.0010083901037994,1.2183153552737498,1.023172687185273,1.1281387795413431,2.0671315708974047,0.9342525964897987,1.099843151630951,1.0831014599796456,-0.0398042669089575,1.8272246981510567,0.9827016653037172,0.9057411752561392,277.5210813370353,2093913
1923,5.628551797299066,3.201159752190671,30.358739724537173,69.27495783401257,1.963335685869104,3.0911895556055384,0.5475947950870746,1.2264559328230429,0.8256023991750943,0.3074422265888206,6.193044017100689,35.84533773272773,0.0056199329135283,0.0539119722285192,0.000520647432256,0.0103444778326174,-3.605620936609035e-06,-7.243150607385013e-05,-4.03518888619028e-05,-0.0001049327479195,-0.004092816945871,-0.0027073486528302,-2.1813652331917693e-05,-6.09175221692734e-06,0.0675601889137325,3.605811580497546e-32,2.326725677518197e-13,-0.2384787703593961,0.0001898476757757,0.0010089166504191,-8.913333654747536e-06,-1.036585075396264e-05,-0.0001393994955396,0.0012307978463587,1.0329092206062884,0.8458898015224229,0.9058323091777156,0.5692759384944727,1.0066125053569022,1.0288653457377872,1.2004659890520764,-0.02951851377285,0.93934951637702,-0.0114211600129787,0.8797061702045624,274.0480935048701,2123040
2317,18.4688007464134,3.1638273790645286,22.83547360956502,121.18898117535338,0.948617834433091,4.2026314527998085,1.3760166924670447,1.2399068298308815,0.9596140435989624,0.644743955416875,9.3321954057388,32.56613448899189,0.0056821067744975,3.8114459113001535,-0.0001515187783791,0.0024764883258109,-2.528351809073244e-06,-6.609780010157236e-05,-0.0006221742270404,-7.709847892994708e-05,-0.0023515429618112,-0.0030947085420229,-3.0037435037429024e-05,-1.4387207736482094e-05,0.068072089485328,6.2755337724542e-42,0.772739373049252,-1.396331626737623,0.0002492202903187,0.0013388422266565,-0.0001115827136165,0.0001162449215227,4.278271035174343e-05,0.0009822643451103,1.2866719708744725,1.037014749543287,0.9811056738466568,0.7261818780232683,1.1994990119047295,0.952418340613012,0.9831088173811456,-0.0457391544349117,0.0751850763148319,0.2508264665875064,1.0911305932336095,277.1211900296361,2280246
2516,2.9752006131776163,5.319506844771695,11.528339751082278,105.10413649578769,1.4817139581379073,1.0459088531277492,2.0869861361792443,1.826374534721405,1.129155271818904,0.512410088171708,7.883998600233511,35.84388380007906,-0.0019842470888459,3.957323828524284,0.0027020987872979,0.0124787656241211,-4.246125738284194e-06,-4.598158382971871e-05,-2.934783569876701e-05,-2.9320096260714606e-05,-0.0073494842609469,-0.0006842646685969,-2.384031943156678e-05,-5.3397855500982766e-06,0.0067914465952271,1.6462416331201785e-05,4.5597430082057285e-11,-1.3929414857263398,0.0001894733820181,0.0009840143203909,-0.0001346498371309,0.0001248544264665,-9.538469434647931e-05,0.0015986733667227,0.8862385686642534,1.1281357047181648,0.8284141805026852,0.2993568596377662,0.889281608533927,0.8322978001960907,1.1233031340264337,-0.0527820241272618,1.1574282418754338,0.9246699433233444,0.9966107705311336,279.9099304327476,2359647
4749,8.90827208272172,3.14016404250376,14.131150527152066,69.66232101421133,1.188702636777296,4.319709008023763,1.5450269718437228,1.3373883385198542,1.54834136372881,0.5656723329668353,7.670745190935562,33.17701733039907,0.0050962162210896,0.6907095147714201,0.0014470705727907,0.0386565586545651,-1.7916683799611066e-06,-4.58306398341981e-05,-0.0002281166611701,-5.769900174722876e-05,-0.0077215390948614,-0.004491154663642,-1.9021789576314907e-05,-1.1229721336573178e-05,0.0096221196306731,1.763639075379559e-32,0.1181414944963402,-1.2909816512512304,0.0002685483760287,0.0006702713907298,4.3389549062196575e-05,0.0001201558189972,-0.0001699451705712,0.0008127099560013,1.2646589411138436,1.060432988697389,0.8497005707460417,1.1240342795658596,1.2547962034462754,1.1869475074427942,1.321408929772459,-0.0179309674177369,1.7037886912015263,1.387626155135693,0.9813603362161194,278.00507903818254,3250614
5862,13.28232698443012,4.138597330978877,40.24553583863384,63.47094038624818,1.870617065341693,2.816866719465881,0.5112740805368363,1.1242250796657842,1.406918797083054,0.5834561518162027,6.6504201276781725,30.47203344263225,0.0072432447135937,5.477693296903532,-0.0026778687435702,0.0405113224162625,-1.8431545107453927e-06,-3.31463296810291e-05,-9.735143472718032e-05,-2.9295596725037096e-05,-0.0043860779295017,-0.0041580209284609,-2.4058298220000607e-05,-6.410116087054918e-06,0.019352550574716,3.9310905766716224e-31,0.0507522796785224,-0.3834271319074653,0.0002067785011962,0.0012277567661837,-3.672296746495117e-05,4.219632441445088e-05,0.0001976243567189,0.0013394356756855,1.132447700676762,1.0371135811814496,0.946098631528404,0.9411579693559556,1.4941305516092118,0.955713728597634,0.6885951802264838,0.0331083508263492,2.7163526581503734,1.1994636849738345,0.9116919223189528,276.782136655144,3694701
6207,9.050427540928329,3.567172614827676,20.155805324452217,90.29794546284674,1.8719113202908533,3.94492447194066,1.1318191530459183,0.944837500005985,1.8223177491680569,0.5934191366824438,10.138572253713196,35.14882056486219,-0.0003657777586879,2.8328181848558773,0.0034076373991996,0.0224153849601165,-2.2995677168181984e-06,-4.34754774838172e-05,-0.0009198795014715,-4.080788521107034e-05,-0.0043960575051701,-0.0038581543894852,-9.005830738895354e-06,-7.000808206538629e-06,3.9250657355609113e-07,4.940385135506867e-12,7.748741277153729e-06,-4412.600350741975,0.0002011995959904,0.0008745076180363,-6.528753255447297e-05,0.0002912669150138,2.0348875710841223e-05,0.0006445103682748,0.8834354763968935,1.0725552783242776,1.0818117136239542,1.109970087951716,0.0800861235199462,1.0735203404242084,1.2119539277818814,-0.0321549032856719,0.2619873596328443,0.7346519551510653,1.146051030509739,278.5794285831413,3832356
6837,2.8973114315608117,4.402589829903183,13.055074189140171,141.28215054027748,1.0950870689926488,4.479048745221448,1.0760969412626524,1.5433049334287454,0.4916813754160196,0.527179532420635,6.811452333144273,36.6864779455981,0.0036029133649621,-0.6842769412394518,0.0022078323550586,0.0156422907159109,-3.4781406728563003e-06,-7.166437138231182e-05,-0.001127784602603,-2.0243037977142592e-05,-0.001178141894344,-0.003067875821871,-1.320165592883726e-05,-8.958314314611332e-06,0.0065793858087322,0.0188599603306228,6.030145835397109e-18,-1.513211857208726,0.0002499766606892,0.0010654123673486,-6.205415672837556e-05,0.0001391722365784,-0.0001775541420459,0.0015771066391189,1.040752787207113,0.8740968361194611,0.9036895133982638,0.3580509696371158,1.301781658052931,1.2367230939515563,0.6542101328662279,0.0377724484324539,0.5808689351280901,0.4702070734179046,0.9223697985468734,274.67584473384227,4083726
6913,4.219170637455251,4.454545170542275,20.50557134448055,132.9445551161385,1.703392783781081,0.7287236791587373,0.6982405418027539,1.0528404346474474,0.2976493358814934,0.4863140239936649,7.506206163008107,34.64344961171544,0.0016847741742967,3.549844678422885,0.0014386608325188,0.0393433941919573,-2.556653343188726e-06,-6.080587083892593e-05,-0.000714097689947,-6.818377466331961e-05,-0.0007057232733856,-0.0011369222177572,-6.127596296127463e-06,-1.0646500360864347e-05,0.0031415659692779,1.5061862471341701e-13,0.0008343000363406,-3.8373015410290496,0.0002980621810633,0.0014814655987423,2.020402740930104e-05,0.0001191289960567,-0.0002632614225704,0.00057503738162,1.0019173703380948,1.0911368005334796,1.0207117205233411,0.7854810565694721,0.6725052072959897,0.9838206808548208,1.0081629507190524,-0.0596549633794688,1.0571666583177313,1.502789906624751,0.9702077782906772,276.40825112866463,4114050
7127,7.850055574811529,4.881820492521888,24.17490408433826,145.24784643444872,1.604862548296985,2.481704912766127,1.1796066985076448,1.0440151281114811,1.229975378508212,0.5574028701863359,7.370895460857406,27.37097531940921,0.0092112662707143,4.88863275008323,-0.0023539546739685,0.0162511310634528,-6.010502029396327e-07,-4.018445830045829e-06,-0.0001343113988717,-2.806921362416651e-05,-0.0026707271842981,-0.00202501234343,-9.49653294869081e-06,-5.402042676263816e-07,0.009329357220482,52.28662420247359,2.719188453458587e-11,-0.1726619152862358,0.000212083012641,0.0009493594721623,-0.0001286598088351,5.744745509606092e-05,-0.0001188904981134,0.0009517471980096,1.0975665294502863,1.1713615892364238,0.9148842930534772,1.0240731305230577,1.061445299349309,0.8955233392177131,0.2431072481788614,-0.028457770639736,0.6977047087728636,1.0866595448957344,0.960962234298407,279.4075040161897,4199436
