,gamma,c1,c2,c3,kappa1,kappa2,kappa3,epsilon,sigma_eta,sigma_xi,F_4xCO2,r0,rU,rT,rA,ari BC,ari CH4,ari N2O,ari NH3,ari NOx,ari OC,ari Sulfur,ari VOC,ari Equivalent effective stratospheric chlorine,shape Sulfur,shape BC,shape OC,beta,o3 CH4,o3 N2O,o3 Equivalent effective stratospheric chlorine,o3 CO,o3 VOC,o3 NOx,scale CH4,scale N2O,scale minorGHG,scale Stratospheric water vapour,scale Contrails,scale Light absorbing particles on snow and ice,scale Land use,scale Volcanic,solar_amplitude,solar_trend,scale CO2,co2_concentration_1750,seed
223,2.5428925329760865,4.427775608793746,6.439975558675275,27.811738491165144,1.5205824007509103,2.611940680671018,0.7911472844184546,1.785763200979068,0.0194790765753699,0.2243003536060381,6.348804032595833,31.936510246680232,0.00262568354349,2.0550655540079013,0.0033687145015187,0.008821685052753,-3.451251706188068e-06,-2.38412263996779e-05,-0.0010672529250909,-5.25617767095002e-05,-0.0006718092607439,-0.0019227931167883,-1.8426429540602248e-05,-1.132059524614386e-05,0.0003318051592434,0.0778572464774151,0.0038296351823793,-1.8409937931746403,0.0001092415702654,0.0007246485467217,-0.0001935085396019,6.708367395377226e-05,7.06942223865142e-05,0.0015859153766845,0.8794866733088572,1.078154275438051,0.9975149820060702,0.1084898442317281,2.9092256672151238,1.968793821942664,1.1532429354574016,1.1748956480754664,1.1506421631059038,0.0744109801305414,1.1139380833548356,280.99694947972216,1444740
248,2.699182650943201,5.652514457986715,12.693147039635178,96.30543253545902,1.4518878512446474,2.1903317574901435,1.5876245012997767,1.5035354981532536,0.634219039741778,0.4078362435272002,6.491680342284518,29.324706418937573,0.0066951987273812,4.691436786246848,-0.000973709089933,0.0368458976971934,-3.257413810098453e-07,-6.598142681840107e-05,-0.0008906318140371,-6.139395897975883e-05,-0.0063014404134613,-0.0056982537945661,-1.128373367985341e-05,-1.0835693461502184e-05,0.0097298092869074,0.1867245137982257,0.0093938119359718,-0.2005950523979473,0.0002269800374337,-0.0001360312768105,-0.0001404206728051,5.95843714011296e-05,0.0003068188658278,0.0018821137934862,1.1250383222761984,0.9176353465038428,1.02320487080307,1.120878923222336,1.3016833393857803,1.6081059103304098,1.2570004211385033,1.1141279423375814,1.2356052718680637,-0.043371915522275,1.1038321942546871,279.2720921212881,1454715
337,5.5608340504952505,4.520785077397567,29.034907889063504,31.431179935187203,1.1402933997990885,2.9338474747190477,1.202307350610203,1.6390295828085395,0.7570882499916823,0.5252964386435731,5.5789084923873,32.65346918021065,0.0031195695540535,0.2144067685038422,0.0045000693732642,0.0025261894618215,-3.2911375668474097e-06,-2.412280100288893e-05,-0.000130969310218,-1.8272274580992303e-05,-0.0032513826624403,-0.0009599382339972,-2.6412755785767704e-05,-9.196405249012758e-07,0.0007427989079513,0.1167495142196603,0.0096825383062584,-2.0625024284540774,0.0001955620672133,0.0002470373418911,-0.0002527973174755,0.0002669100729266,0.0004032560452672,0.0026012570803113,0.8571122792358676,1.048650648546306,1.0090530880206126,0.3613338277903053,0.7889120760226195,0.2903869653280669,1.1688297511428247,1.0441716206239142,0.9440015769858574,0.0594735410904618,1.168394129742087,280.22111941031363,1490226
1244,7.871591936103805,4.716181098681843,10.254539691896074,138.20251179912938,1.5558760295936425,1.506980101159522,0.4716075703000956,0.9803237337833228,1.481807927993213,0.3674252392713588,6.541463156531277,35.57167625705449,0.0018050242376351,2.961387768119505,0.0014182865077143,0.0352942968283842,-3.748611777665113e-06,-2.5121949349480463e-05,-0.0008571412356017,-4.3685864621950966e-05,-0.0003655547261427,-0.0028523928812746,-8.963577796712174e-06,-1.0151026590598436e-05,0.0339553547325464,0.104496192996792,0.0124713030194274,-1.0080068757094225,0.0001436436204254,0.0009681734820392,-7.462406819705515e-05,0.0001071668995045,0.0007185418227111,0.002029399483571,1.0129067183080058,0.8801852041062577,1.163425066804792,0.9634383495281093,1.1747302399615025,2.2956346650491257,1.31958011741792,1.1464219006699237,0.9534080401846328,0.0115636775508711,1.100310969490643,276.5378515881333,1852119
1483,1.541741404774786,5.884384446362143,10.171038050883004,144.59016094250828,1.324371544898911,5.83034101368141,0.9866661135200008,1.261384696943458,0.4932143912583083,0.7435394525789982,8.270529720558237,37.8204526746514,-0.0002693397392237,1.940335147796872,0.0026727693049543,0.0188731678467121,-1.980557835118249e-06,-1.3319270949243536e-05,-0.0004995825194675,-4.224635571487603e-05,-0.0008623792717084,-0.003132716288878,-2.8461591983310493e-05,-1.276174135727468e-05,0.0095013306120632,0.4473534358142707,0.0045842074235061,-0.7673203892315114,0.0002128787819752,0.0006029725640829,-0.0002281216235621,0.0001440415666244,0.0003426282452646,0.0017293600402416,0.7841000764987147,1.0974009730963914,1.15091240473269,1.774764436796992,1.3427218101916611,0.7413012072517773,0.8169634706230922,0.8516697311477582,1.046927289332929,0.011883422728862,0.978011093598656,275.66244715043905,1947480
3495,10.767226848307992,5.896557968164419,48.58525467651256,195.8147556214439,2.053625417086677,1.1220492703224527,0.0790365957274562,0.0734252714696062,1.047407921967629,0.7541318897766305,8.846593887140346,37.5355246684134,-0.0031583094647152,-0.5725434059359853,0.00584977485714,0.0319834654790972,-2.290050015546344e-06,-3.227975790828442e-05,-0.0006192784750405,-9.868140787226516e-05,-0.0069239728136944,-0.0015402773450275,-2.2544791515717155e-05,-9.1723057327399e-06,0.0020300810890234,0.122257270259214,0.0014539664274625,-0.6235138559920205,0.0001437299104808,0.000727887416512,-0.0001145269207686,0.000194568553694,0.0004945080077683,0.0019379184401462,0.8405639272574437,0.8693363228764115,0.913492986139784,-0.4106317386473843,1.0337293878510525,0.3473493550247489,0.9399911350077568,0.669083693272305,0.5615976356004414,0.0311873571465013,0.9372650763286616,281.0107619069668,2750268
3925,1.228987388829201,3.1151850380584443,8.362138331737103,110.10927391065752,0.6307164971976443,8.065988306997554,0.51426120595469,1.48364633314302,0.2672036858752883,0.5270471539205143,7.645031051147956,31.7383406198587,0.0071144886577696,3.138790987595943,-0.0011921279726114,0.0026613006489474,-2.8908142859930085e-06,-1.3007931512523496e-05,-0.0005814424204733,-3.209710260087081e-05,-0.006541637425897,-0.0019122803412363,-6.839900959117743e-06,-1.1174419915548183e-05,0.0126386005480269,0.2067658802367638,0.0039923552334402,-1.5640672052726896,0.0001108798206129,0.0008211554976839,-0.0001192360926309,0.0001611612310292,0.0002107203554463,0.0016832053935066,1.042599580913715,1.0205276460572532,1.1807881296702576,2.207333655052286,1.3910094353344862,2.066718679858181,0.7419437453978374,1.389520862145833,1.1270071313239527,-0.0321128510214491,1.0222536989621631,278.7138522457435,2921838
4086,10.195818238436082,3.9299858688354337,13.500328660602312,17.22594480672914,1.5734204943150474,3.001686418061196,0.5378469703360449,1.7742621845636533,1.1507584041864078,0.2776033034074233,5.912058066632054,31.337597232631577,0.0057377334116024,1.0309915557248592,0.0033306720079472,0.020321667108186,-1.376242360900744e-06,-6.242575024601409e-05,-0.0006933202082884,-0.0001322426939102,-0.0026409108701231,-0.0029788343651865,-2.5345537860373622e-05,-5.502093013007252e-06,0.0001567861463273,0.4856666323006797,0.0086569777836767,-0.9695356595222544,0.0002266109779556,0.0006125176306739,-0.0002728337822171,0.0001387335443767,2.4445427569997204e-05,0.0016281202839778,1.0283418498909265,0.8662468871021799,0.894139956815079,0.513696026561788,0.4216820767364847,1.700395137217885,1.2070309291753891,0.9656371754994552,1.3750098675903564,0.018269040297169,1.1448298827482009,277.7770390887204,2986077
5030,14.93669713519802,4.452246543628259,27.51200909393495,135.38365286532297,1.4549234505208852,1.7934322351118392,0.1918077014182698,0.3260375494180219,1.2773804753851064,0.537451305934077,8.01415712611848,34.45073799133709,0.0057468367058228,2.779215586254283,-0.0010421128701093,0.0292328096221118,-3.012130285431137e-06,-3.093937457415236e-05,-0.0008563731628782,-9.109509308227908e-05,-0.0044276922904046,-0.0020628112077953,-6.763557151124057e-06,-1.3255614884581629e-05,0.0036948281515431,0.0794412672526536,0.0020886643425912,-2.119676943201031,0.0001676322679193,3.1943794291414205e-05,-0.0001127352571754,8.133689300148081e-05,0.0006071640144808,0.0015516657277243,0.8796197374597263,0.963793340560715,1.1788471307056123,0.2879878230694157,0.7467550674274903,0.5035543237217232,1.3835078741911224,0.9934610116060808,1.253445150556715,-0.063355158415611,0.9961447716966614,276.87777333768446,3362733
10946,8.473713703735203,5.062180941103952,14.046218976171277,231.70231443264024,1.237489010516746,2.1414784911060933,0.7519048524404403,0.6921831614898069,0.927673236730497,0.5096652670624654,8.97419748150351,36.65496989243751,-0.0029249160254812,1.6063296686623176,0.0052221741654869,0.0310258913163667,-3.472448687877425e-06,-7.125064457640161e-05,-0.0008868935468866,-0.000101455427442,-0.0044511115906236,-0.0041206757271443,-1.2132443812520478e-05,-9.010120328370687e-06,0.0110793927203563,0.0442667090904014,0.0032807500241598,-1.091954793454796,9.371247159572212e-05,0.0006846220232561,-0.0001534346145796,7.044800793794178e-05,0.0004207755928856,0.0026354821705676,1.030652953861691,0.7946002873620804,1.1901186468846536,1.0657926161193132,1.0399261384051002,0.8562594643642665,1.2527258871832707,1.0742274115764707,0.8557717251971021,0.0252344000023407,0.928239452862992,280.1489975139584,5723217
