sc,model,scenario,MPscen,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2070,y2080,y2090,y2100,rank
598,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_50,Emissions|VOC,,,,,,,,,,,190.7659284,,,,,196.4786927,,,,,189.8171299,,,,,,,,,,176.6444781,,161.1052207,,137.189707,,117.2787267,,101.584441,88.62342801,75.94552672,66.58900159,63.33439131,20
599,MESSAGEix-GLOBIOM_GE,SSP2_int_mc_15,Emissions|BC,,,,,,,,,,,6.908072986,,,,,7.051521066,,,,,7.096967123,,,,,,,,,,6.0399258,,5.508704385,,4.851466316,,3.962744969,,3.246896258,2.649002139,2.142795411,1.80188092,1.741760626,10
599,MESSAGEix-GLOBIOM_GE,SSP2_int_mc_15,Emissions|CO,,,,,,,,,,,859.4526526,,,,,892.3366766,,,,,861.1360921,,,,,,,,,,771.7075256,,703.3909594,,621.0298644,,488.6914171,,393.0395232,323.8562518,258.6046263,222.2192286,203.3204348,11
599,MESSAGEix-GLOBIOM_GE,SSP2_int_mc_15,Emissions|CO2,,,,,,,,,,,31667.90818,,,,,35933.06969,,,,,38542.01814,,,,,,,,,,42471.89622,,40585.49757,,37805.28898,,29636.9783,,16734.87631,5374.652112,-1171.073755,-7626.084282,-10782.1131,12
599,MESSAGEix-GLOBIOM_GE,SSP2_int_mc_15,Emissions|N2O,,,,,,,,,,,7797.722655,,,,,8252.077843,,,,,8725.522278,,,,,,,,,,9701.290692,,10344.99289,,10484.54929,,9814.530372,,9379.591121,8886.533547,8003.90115,7623.075577,7228.824011,14
599,MESSAGEix-GLOBIOM_GE,SSP2_int_mc_15,Emissions|NH3,,,,,,,,,,,52.21303021,,,,,54.26748468,,,,,56.04023332,,,,,,,,,,49.7070849,,50.43787315,,49.13723326,,45.32809708,,42.73644507,37.98690795,34.37240653,31.70323993,29.32004339,15
599,MESSAGEix-GLOBIOM_GE,SSP2_int_mc_15,Emissions|NOx,,,,,,,,,,,112.1667334,,,,,119.5270866,,,,,114.3600528,,,,,,,,,,107.889935,,99.25468392,,87.52947811,,73.0302633,,64.17360398,59.23959651,55.68925271,51.39701657,47.09442193,16
599,MESSAGEix-GLOBIOM_GE,SSP2_int_mc_15,Emissions|OC,,,,,,,,,,,34.54351736,,,,,33.99336132,,,,,33.3069011,,,,,,,,,,29.59614712,,25.7871019,,22.3910993,,18.77884673,,15.86770031,13.20204024,10.47875465,8.789563403,8.251800797,17
599,MESSAGEix-GLOBIOM_GE,SSP2_int_mc_15,Emissions|Sulfur,,,,,,,,,,,92.15418255,,,,,108.5628476,,,,,99.94693851,,,,,,,,,,74.30554469,,62.88030153,,48.87440918,,36.29234472,,28.21793842,22.74730909,21.04500879,19.51119345,18.06971807,19
599,MESSAGEix-GLOBIOM_GE,SSP2_int_mc_15,Emissions|VOC,,,,,,,,,,,190.7659284,,,,,196.4786927,,,,,189.8171299,,,,,,,,,,176.6444781,,166.1486148,,152.5527913,,128.3695424,,111.1327345,98.07622884,84.33919078,75.32455901,72.00916137,20
