model,scenario,region,variable,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2684.1045325931,,946.6103326902,,-988.5979399746,,-2797.4889330548,-3448.6407741897,-4182.777042308,-5008.8026930027,-4447.7207988968
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,30704.2595926921,,22796.42527771,,11770.2353159587,,2657.2686325709,-2669.0007859866,-6625.1765672366,-9866.6704700788,-12108.4645893669
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2128.5734133209,,175.2250590194,,-1406.0306507674,,-3381.536204839,-3495.1584890918,-4120.834257086,-4851.1448860822,-4226.0396870996
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,27424.2272065185,,17416.5345685622,,7268.8780341184,,-1294.8371368066,-6291.2873705624,-9301.7900810523,-11265.8762903741,-12792.9581957816
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,1989.9581126916,,139.5341598834,,-1474.0824684815,,-3581.7289913385,-3345.9133900817,-4158.6984967255,-4970.0671154377,-4533.5569876003
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,26613.2568398413,,16356.5749246523,,6354.4506439328,,-2413.085285661,-7146.188889589,-9738.4805630292,-11500.9059791222,-12912.6664402411
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2024.4489838128,,201.1151511933,,-1463.7423432718,,-3352.4073319776,-3228.9383148858,-4181.6427096258,-5015.8817961828,-4554.8105946324
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_15,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,37035.5603129069,,34907.2514444987,,30072.3286031087,,20323.8209212621,9039.4218292236,3159.7577800751,-2568.4716355006,-6435.0022203128
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_15,World,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,5198.6340774,,,,,5148.8247445747,,,,,5380.4300650756,,,,,,,,,,4444.0853045365,,2684.1998804091,,946.738225538,,-988.1052991737,,-2797.220775722,-3447.1668435232,-4196.0999334925,-5019.7222369643,-4453.6786278035
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,26469.2741035384,,,,,30784.2449476588,,,,,33161.5880761836,,,,,,,,,,38027.8109162648,,29576.9006239245,,23417.9348793237,,14205.6260417637,,5650.7960003952,156.0698816314,-3251.1758632099,-5877.9586466555,-7202.3332404825
