sc,model,scenario,MPscen,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2070,y2080,y2090,y2100
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,Baseline_CLE,307.7310452,300.2077539,296.645175,296.9886051,296.3477948,294.2140876,294.4524697,293.6291593,294.2059236,294.5221418,295.2255311,296.4357364,296.993929,302.92856,310.7628315,318.2385912,320.26039,322.4476754,325.4856714,324.2253811,325.0085506,329.5352441,334.5746688,337.2629418,338.7983589,341.4712745,342.7749079,347.0289385,354.2432371,357.8945293,358.93,,384.48,,425.43,,461.22,,484.34,492.83,493.20,477.84,458.07
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_tech_MCLE20,307.7310452,300.2077539,296.645175,296.9886051,296.3477948,294.2140876,294.4524697,293.6291593,294.2059236,294.5221418,295.2255311,296.4357364,296.993929,302.92856,310.7628315,318.2385912,320.26039,322.4476754,325.4856714,324.2253811,325.0085506,329.5352441,334.5746688,337.2629418,338.7983589,341.4712745,342.7749079,347.0289385,354.2432371,357.8945293,358.93,,305.72,,310.61,,332.33,,353.67,363.70,367.58,364.28,356.16
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_tech_MC20_100,307.7310452,300.2077539,296.645175,296.9886051,296.3477948,294.2140876,294.4524697,293.6291593,294.2059236,294.5221418,295.2255311,296.4357364,296.993929,302.92856,310.7628315,318.2385912,320.26039,322.4476754,325.4856714,324.2253811,325.0085506,329.5352441,334.5746688,337.2629418,338.7983589,341.4712745,342.7749079,347.0289385,354.2432371,357.8945293,358.93,,279.21,,292.68,,316.63,,337.68,347.37,351.22,348.58,341.50
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_tech_MCGT100,307.7310452,300.2077539,296.645175,296.9886051,296.3477948,294.2140876,294.4524697,293.6291593,294.2059236,294.5221418,295.2255311,296.4357364,296.993929,302.92856,310.7628315,318.2385912,320.26039,322.4476754,325.4856714,324.2253811,325.0085506,329.5352441,334.5746688,337.2629418,338.7983589,341.4712745,342.7749079,347.0289385,354.2432371,357.8945293,358.93,,276.68,,290.43,,314.71,,336.05,345.96,350.03,347.57,340.61
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_explore,307.7310452,300.2077539,296.645175,296.9886051,296.3477948,294.2140876,294.4524697,293.6291593,294.2059236,294.5221418,295.2255311,296.4357364,296.993929,302.92856,310.7628315,318.2385912,320.26039,322.4476754,325.4856714,324.2253811,325.0085506,329.5352441,334.5746688,337.2629418,338.7983589,341.4712745,342.7749079,347.0289385,354.2432371,357.8945293,358.93,,275.43,,289.27,,313.51,,334.82,344.71,348.77,346.33,339.39
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_fossil,307.7310452,300.2077539,296.645175,296.9886051,296.3477948,294.2140876,294.4524697,293.6291593,294.2059236,294.5221418,295.2255311,296.4357364,296.993929,302.92856,310.7628315,318.2385912,320.26039,322.4476754,325.4856714,324.2253811,325.0085506,329.5352441,334.5746688,337.2629418,338.7983589,341.4712745,342.7749079,347.0289385,354.2432371,357.8945293,358.93,,270.66,,275.75,,293.26,,314.71,323.33,328.86,328.71,324.81
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_behavior,307.7310452,300.2077539,296.645175,296.9886051,296.3477948,294.2140876,294.4524697,293.6291593,294.2059236,294.5221418,295.2255311,296.4357364,296.993929,302.92856,310.7628315,318.2385912,320.26039,322.4476754,325.4856714,324.2253811,325.0085506,329.5352441,334.5746688,337.2629418,338.7983589,341.4712745,342.7749079,347.0289385,354.2432371,357.8945293,358.93,,249.28,,216.81,,213.90,,232.16,239.33,244.61,245.62,244.33
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_fair,307.7310452,300.2077539,296.645175,296.9886051,296.3477948,294.2140876,294.4524697,293.6291593,294.2059236,294.5221418,295.2255311,296.4357364,296.993929,302.92856,310.7628315,318.2385912,320.26039,322.4476754,325.4856714,324.2253811,325.0085506,329.5352441,334.5746688,337.2629418,338.7983589,341.4712745,342.7749079,347.0289385,354.2432371,357.8945293,358.93,,253.92,,229.34,,230.22,,250.65,259.53,266.02,268.17,267.94
597,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_15,MFR_develop,307.7310452,300.2077539,296.645175,296.9886051,296.3477948,294.2140876,294.4524697,293.6291593,294.2059236,294.5221418,295.2255311,296.4357364,296.993929,302.92856,310.7628315,318.2385912,320.26039,322.4476754,325.4856714,324.2253811,325.0085506,329.5352441,334.5746688,337.2629418,338.7983589,341.4712745,342.7749079,347.0289385,354.2432371,357.8945293,358.93,,239.45,,196.18,,190.94,,206.50,211.72,215.45,215.27,213.33
598,MESSAGEix-GLOBIOM_GE,SSP2_int_lc_50,Baseline_CLE,307.7310452,300.2077539,296.645175,296.9886051,296.3477948,294.2140876,294.4524697,293.6291593,294.2059236,294.5221418,295.2255311,296.4357364,296.993929,302.92856,310.7628315,318.2385912,320.26039,322.4476754,325.4856714,324.2253811,325.0085506,329.5352441,334.5746688,337.2629418,338.7983589,341.4712745,342.7749079,347.0289385,354.2432371,357.8945293,358.93,,373.66,,410.99,,435.05,,446.81,430.74,412.76,390.71,377.88
