,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_OC,ari_Sulfur,ari_NOx,ari_VOC,ari_NH3,ari_CH4,ari_N2O,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_solar_trend,fscale_Light absorbing particles on snow and ice,fscale_CO2,cc_co2_concentration_1750,seed
2463,1.659270149619668,4.251979561549582,23.326193730364068,65.74342629347854,1.0170971074502846,1.0344560971171206,0.9655221972495792,0.8281496506608017,0.5515715405772764,0.4381312958834518,8.037144165931757,32.03886060098663,0.0035850892087498,2.0446510458743523,0.0036831316627677,0.0066519920783121,-0.0017167403276312,-0.0007772953375984,-6.928816176954125e-05,-1.4686864167800444e-08,-0.0004908233371524,-2.3875001510588656e-06,-4.865902474577609e-05,-5.465951005947161e-06,0.0163812438091064,7.920112275954971,3.1810339551444244e-16,-1.385230729656131,0.0002678155306139,0.001533556904633,-3.609087696711496e-05,0.0002777148014244,0.0001606278459578,0.0007305710328031,1.0157121408399186,1.1295751042531463,1.0279504716906065,1.2562134325932703,0.3218785657703024,1.0585969201840069,1.0722528812063576,-0.033149605380233,0.5583035911038572,1.0064996921861966,278.4485297902022,2338500
2658,10.468831401842143,3.762725993554009,15.584638976382386,174.73325893214718,1.80083430696018,2.8796614432533256,0.587162550694182,0.8517566381343641,1.453360995810296,0.7708932286402426,9.526813243267648,33.7035706361834,0.0055768168449543,0.3004119665772768,0.0009231596026284,0.0119863665984541,-0.0023884101432204,-0.00110590877547,-7.005283869262418e-05,-3.196407626172655e-05,-0.0006018199446365,-1.4273633553391336e-06,-1.7777948766937223e-05,-7.559530979354389e-06,0.0077153180695692,22056.686232335414,3.3851738173044975e-11,-0.7422106430865244,0.0002902898706946,0.0013903920662173,-3.4398386236975743e-05,0.0001307521864002,-0.0001642074072327,0.0017342230998922,0.7773472116751561,0.7896636657433911,0.8999060122962925,0.3832818376070894,0.9148539951445928,0.7441962425424355,0.4588843164832276,-0.0027997046081982,1.5813704102774102,1.111146672418298,276.8580252565892,2416305
4204,2.16433976403039,6.021519145824915,17.73814034039798,53.53231624284705,1.324482984459138,2.0693874941649573,1.9075464945644351,1.9339122125119537,0.7300880090087214,0.5084788903342463,7.966650894385385,32.187754821148495,0.0023085469820027,4.211450740806454,0.0018692735430989,0.0093193986154298,-0.0048658576693221,-0.0027348144294733,-8.314766825253233e-05,-2.5032924402702432e-06,-0.0005346434412301,-1.8756184859137952e-06,-1.7399202692207952e-05,-7.710307149586134e-06,1.4693137570112154e-06,4.605806179202309e-08,2.4576838050088623e-06,-3272.406066544217,0.0002295039958514,0.0014599320906732,1.2386487465507968e-05,0.0001100526371812,-0.0003089703652805,0.001800123256341,1.1693683846402791,0.9680460435360037,0.9304843915286968,0.726872605913874,0.4956311064702028,0.7744070992253217,0.90199059877508,0.0706623089679028,0.8385525165870278,1.001782149611258,278.0963333601892,3033159
4743,9.803903907921184,4.203418174464746,23.59034422611454,39.44337457692761,0.7726920338066599,1.8441148095147988,1.4345508457041698,1.1419653215974628,0.8464291355866737,0.453667781639596,6.930620220796071,34.01538178159614,0.00404324546743,0.1643231016971549,0.0034408069434759,0.0216914569991482,-0.005691293148071,-0.0028849263111859,-5.223807969202429e-05,-1.284716631808182e-05,-0.0005236520509689,-2.362974792502712e-06,-3.270548640221678e-05,-7.045144502328537e-06,0.0104644344765042,1.069328585443833,1.0808465498501576e-10,-0.9985665385496711,0.0002611123594009,0.0012685131520026,-0.000205925104123,-4.251337307798272e-05,-3.69937101659714e-05,0.0012095654879007,0.887897151517008,0.9153678978584135,1.1082461474851388,3.2131416479156134,0.7586534261239913,0.7452821701329597,0.7833419118165126,-0.0070623313149096,2.093638643569,0.9258759006849802,275.912349073415,3248220
6941,6.938420331705437,3.689111756867346,28.75844667716332,70.48177661165249,1.0855724124026422,1.9565756168600448,0.7172420072916611,1.1034313944726153,0.6324679346838022,0.4533433958963415,7.062270796420791,32.981601905313745,0.002764197884658,2.755543686382277,0.0026584418382798,0.0133717432179919,-0.0061841023982739,-0.0010429038664956,-5.50490766423671e-05,-1.662875545382452e-05,-0.0005340165341748,-1.58179911841061e-06,-3.103735778472078e-05,-6.5695360014108965e-06,2.1312804044346734e-07,7.541513957297083e-07,1.913730304918817e-07,-35639.98548904812,0.0002369159419283,0.001153581649485,-0.0001107063853233,8.048616208518902e-05,-5.076614635231395e-05,0.0003010949741723,1.104787848035816,0.9733706589973444,0.9450540620406458,1.4354078121088605,0.6234852466277196,1.1278482543121138,1.1554750500147837,0.0614188369960391,1.836414422267557,0.9353045855409812,276.71351026571153,4125222
7267,5.392635982992294,4.301988133090132,16.824694613276876,125.3847466251376,1.5784585429209324,1.0548347957438038,1.825542042110232,1.096214284398356,0.6046188592962657,0.709747906884817,8.867960265923774,31.252225723038027,0.0046694932628061,3.157817827640114,0.0018938167896368,0.038364677985195,-0.0046817877489751,-0.0026313607547886,-7.217091772816417e-05,-1.5668352138756034e-05,-0.000542073067468,-3.0377082699199794e-06,-3.4805655798608414e-05,-8.756708124428724e-06,1.0283528874086473e-06,0.0002796609977796,1.912336056401418e-06,-328.28752764942067,0.000193657909849,0.0012533609732598,-6.649696441944965e-05,7.575105688211177e-05,8.915343980107913e-05,0.0011192247215193,0.9472880895160636,1.1750637475930923,0.7569431201262212,0.8406086315075479,1.0394736356842154,0.9485490317038486,1.1818907889479844,0.0675846885321005,1.1921510104250783,1.0642620380675398,275.3591407013542,4255296
9765,3.51472623028741,4.598333325656512,11.428121144488289,117.10409835505304,1.8894712255505215,2.2892295667407385,0.4184932729535321,1.2692743480512516,1.271325408202085,0.6002798512527514,7.330184077255036,30.98989606699132,0.0048515863536539,2.819479575456843,0.0026784929458373,0.0456637807196529,-0.0063521431775162,-0.0033164517037349,-6.370524208952834e-05,-2.61878482546436e-05,-0.0005352035482253,-2.5764305188244163e-06,-3.407460440573956e-05,-6.567127015901026e-06,0.003403011573786,2.915325086052296e-12,0.0004148344786877,-1.684927795061428,0.0001997715235532,0.0010594824754959,-0.0001492045222873,-5.7696374999903645e-05,2.698679200206916e-05,0.0017447154002968,1.156865264346122,1.0447731542262513,1.0624461996744126,1.1362507008987155,0.3068762092367831,0.7147798654177524,0.792139753113312,0.0291710946017178,1.557544940070096,0.9558477774961928,277.34668569911514,5251998
10917,3.766089982607301,5.395464255107558,28.93637780552256,32.36503387454828,0.9558693982340726,1.9070502929095643,1.0938069423961256,1.6024831731691482,0.3813910368517895,0.4140269761506751,7.775820830555925,32.404062467084174,0.0051160050699167,4.442702786522885,0.0001917368062169,0.0302248438404832,-0.0021137194614112,-0.002951730872185,-7.81318122194255e-05,3.5240502311429066e-06,-0.0005241018544879,-2.8570413461627487e-06,-3.303553667297398e-05,-8.353309829864089e-06,0.0161241147093282,5.575121471869802e-37,0.4601288920949311,-2.1347095611406983,0.0002093613516627,0.0012041408264721,-6.80186856750006e-05,9.54172196077897e-06,9.346082339681932e-05,0.0015477932951738,1.2577428377031012,1.069818834349315,0.871233958401034,1.413398548345448,1.5572130795407275,1.042432729890282,1.078351250447025,-0.0001383379252687,1.3158522473856016,0.9886903821179124,277.1675369791665,5711646
13465,3.0525735021674456,5.0257501753481,14.45142285940021,127.64418994327508,1.2424541427312592,0.933615528756153,0.5787244085661734,1.0755604020106115,0.7072037095556242,0.3502958352968271,6.791947154295755,33.34187645275943,0.006792590851437,1.209280938790824,-0.0004074719144805,0.0240616591650313,-0.0025053937748438,-0.002543291169812,-7.539507057969052e-05,-4.7547436468493405e-05,-0.0005780037748145,-2.2319802663876038e-07,-4.512736726256108e-05,-7.352915067597406e-06,0.0767398461898403,2.1218416751819747e-43,1.479941318038669,-1.2250352004376337,0.0002233377306048,0.0009050683248865,-1.1615989509929672e-05,4.238566614658194e-05,-0.0002272915467929,0.0004733130826831,0.8258191980872674,1.034392497976115,0.9418833212568042,0.8844798033234132,1.6143820023385715,1.0523655105582537,1.1980774491758617,0.0007747634978276,1.3828474964670092,0.9150349645769196,276.0240983769048,6728298
14044,3.625213257261068,4.32033084395112,10.0284343435484,55.51075304271554,1.0914477974643355,2.869954864561901,2.1741431189507727,1.729774293022782,0.9572900064488186,0.2885763644592799,7.390675622117504,31.64576075443054,0.0082001857476174,1.3714151753498798,-0.0013413270461943,0.0338708856787516,-0.0038866825545103,-0.0024957956125128,-7.789402673116654e-05,-4.906308181504271e-06,-0.0005488339749791,-1.702868198200626e-06,-4.186206870427621e-05,-5.230975601755769e-06,4.914514777094062e-07,5.588641397354656e-96,1.2398527262211106e-06,-15990.88615699904,0.0002561224970386,0.0009139508490477,-0.0001682577289176,0.0001492460096769,0.000317104376041,0.0011637364639146,1.0629692289852652,1.0874274044923982,1.2355964588385953,0.4797152854232765,0.4458885434502184,0.8114814595733998,1.5377667481354478,-0.0950054184246497,0.4376005454321563,0.9603921949919548,278.095872963129,6959319
