YYYY,CH4
1750,729.2
1850,807.6
1851,807.768974281425
1852,808.522848465194
1853,809.768604973181
1854,811.101519684294
1855,812.706284981343
1856,814.175247055737
1857,815.83610366138
1858,817.743908509212
1859,819.789713845324
1860,821.710641251749
1861,823.80252813083
1862,826.437383759911
1863,829.579258431961
1864,833.022036424324
1865,836.316987268249
1866,839.789794557486
1867,843.427579874067
1868,846.686458940648
1869,849.572230097073
1870,851.882012483967
1871,853.444907663829
1872,854.689687609317
1873,855.629780054804
1874,857.286486269823
1875,858.940323832498
1876,860.33525026236
1877,861.860059504722
1878,863.624981051772
1879,865.773813731635
1880,868.191628345091
1881,870.484503993703
1882,872.755345950909
1883,875.113224040928
1884,877.663118732509
1885,880.544922603778
1886,883.363860264109
1887,886.46258308069
1888,889.460536854303
1889,892.695368069321
1890,895.927208561684
1891,899.21514036264
1892,903.087911030784
1893,906.832690976271
1894,910.041582249883
1895,912.794235730527
1896,914.344191457264
1897,915.852277066814
1898,918.600047734958
1899,921.868875532008
1900,925.14466133687
1901,928.397742063608
1902,932.333378942689
1903,936.390536817864
1904,941.726198111008
1905,947.06008938462
1906,952.714049017607
1907,958.782620467001
1908,963.71667043202
1909,969.034570494695
1910,974.428154151119
1911,979.111227553638
1912,983.256581229594
1913,985.897906585238
1914,988.2713486401
1915,991.126358077775
1916,998.124006675606
1917,1003.24555664062
1918,1009.81028287517
1919,1017.31507258629
1920,1024.75986473881
1921,1031.89472036789
1922,1038.79947345791
1923,1044.83423143074
1924,1049.15902846607
1925,1051.87384014984
1926,1053.31875437267
1927,1055.49401527519
1928,1060.36873906833
1929,1066.39360934585
1930,1072.37819642024
1931,1077.23314482276
1932,1081.70796627216
1933,1086.29289514342
1934,1091.52772635844
1935,1096.84239155784
1936,1101.59748644473
1937,1106.09196121444
1938,1110.40760297633
1939,1116.69138438666
1940,1119.90680642199
1941,1123.03189642607
1942,1127.98645420359
1943,1132.46127565299
1944,1136.0759896805
1945,1139.13113339552
1946,1143.47619410273
1947,1149.46078117712
1948,1155.45550008745
1949,1160.18019946654
1950,1163.65563126749
1951,1168.64998396688
1952,1174.15568920534
1953,1183.2102225688
1954,1194.28514167444
1955,1206.51020726446
1956,1220.9650091826
1957,1235.66920074918
1958,1247.29429075327
1959,1257.19879970266
1960,1264.00345513643
1961,1269.34998068738
1962,1282.46457264459
1963,1300.68866167211
1964,1317.27346847307
1965,1330.96813855527
1966,1342.15316508279
1967,1354.18914375874
1968,1371.57290075501
1969,1389.26903568097
1970,1411.03255341943
1971,1431.0579119782
1972,1449.23183010728
1973,1462.80735956448
1974,1476.09236167794
1975,1491.69731008046
1976,1509.07215594391
1977,1527.64695297924
1978,1546.86176466301
1979,1566.13663494053
1980,1584.92139291336
1981,1602.63608252682
1982,1618.72088932777
1983,1632.61526644123
1984,1644.65
1985,1657.26
1986,1670.07
1987,1680.1285
1988,1692.913
1989,1706.6845
1990,1714.4015
1991,1727.8595
1992,1735.4915
1993,1737.49
1994,1743.083
1995,1748.095
1996,1750.236
1997,1753.672
1998,1764.065
1999,1771.838
2000,1773.143
2001,1771.652
2002,1772.554
2003,1776.7495
2004,1776.124
2005,1774.142
2006,1774.364
2007,1781.2975
2008,1787.747
2009,1792.6855
2010,1797.9145
2011,1803.326
2012,1808.372
2013,1813.7645
2014,1822.923
2015,1834.0055
2016,1842.1665
2017,1849.2365
2018,1857.777
2019,1866.3275
2020,1878.6
2021,1896
2022,1911.9
